Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,19435.1,14314.9,19483.2,14354.4,3207.86768,8721.48145,210.49759,90,1.00959,2986.55859,11185.625,17558,1,-1,10,0,0,147.97476,19.17533,19435.1,14314.9,19483.2,14354.4
405/647,19481.4,14370.6,19483.4,14385.5,6397.96582,40158.42188,319.83618,72.27495,1.02639,2880.13501,43947.39063,2541,1,-1,-3,0,0,681.3559,10.4001,19481.4,14370.6,19483.4,14385.5
405/647,19427.4,14354.3,19466.7,14390.4,3300.5686,24936.12109,350.89752,-84.19678,1.28138,2790.61792,28577.71875,15255,1,-1,6,0,0,423.08369,17.98727,19427.4,14354.3,19466.7,14390.4
405/647,19402.1,14274.5,19484.8,14370.5,3118.15503,12442.35742,255.01323,31.17148,1.17362,2160.36597,16737.07031,39587,1,-1,6,0,0,211.10575,17.32832,19402.1,14274.5,19484.8,14370.5
405/647,19435.7,14361.9,19475.2,14398.2,7859.44482,44503.87109,303.78281,46.90112,1.06238,3472.01758,50390.14063,15261,1,-1,-4,0,0,755.08383,9.34346,19435.7,14361.9,19475.2,14398.2
405/647,19485.4,14360.9,19487.3,14375.1,3339.91553,17852.99219,295.15353,61.85472,1.08985,2829.03442,20759.3125,2561,1,-1,10,0,0,302.90636,17.95084,19485.4,14360.9,19487.3,14375.1
405/647,19491.7,14361.3,19493.6,14376,7955.63525,45505.6875,305.32028,38.18428,1.07637,3144.89941,48612.92188,2546,1,-1,5,0,0,772.08135,8.97856,19491.7,14361.3,19493.6,14376
405/647,19372.6,14285.9,19496.7,14376.2,4026.35889,20208.10352,286.00049,15.09134,1.05754,2207.39893,23745.45313,46673,1,-1,-3,0,0,342.86483,14.01731,19372.6,14285.9,19496.7,14376.2
405/647,19487.3,14373.1,19489.2,14387.3,3580.05933,19467.67773,297.69543,-40.22859,1.10227,2876.89917,22490.9375,2560,1,-1,7,0,0,330.30225,16.996,19487.3,14373.1,19489.2,14387.3
405/647,19427.5,14308.9,19497.4,14370.6,5435.78467,26515.49805,281.9545,0.07384,1.05873,2541.13623,28737.32813,26191,1,-1,5,0,0,449.8805,11.46389,19427.5,14308.9,19497.4,14370.6
405/647,19450.8,14356.4,19490.2,14392.5,7856.43701,59239.42578,350.55231,-28.95657,1.17132,3245.77612,62450.96875,15258,1,-1,8,0,0,1005.09757,9.11779,19450.8,14356.4,19490.2,14392.5
405/647,19487.1,14379.5,19489,14394,6618.15967,44328.69922,330.39548,60.73448,1.05953,2988.42212,48085.3125,2553,1,-1,6,0,0,752.11174,10.22612,19487.1,14379.5,19489,14394
405/647,19451.8,14366.1,19497.1,14401.7,3491.9375,13084.06348,247.11455,0,1.20457,2687.3125,15683.6875,16940,1,-1,9,0,0,221.99338,17.02345,19451.8,14366.1,19497.1,14401.7
405/647,19448.6,14367.4,19488,14403.6,5766.99609,27384.67188,278.18851,47.24792,1.09926,3083.23438,29566.51563,15260,1,-1,5,0,0,464.62751,11.62605,19448.6,14367.4,19488,14403.6
405/647,19483.3,14399.6,19489.9,14422.3,5417.90039,28742.61328,294.04092,15.91673,1.29377,3211.15479,30946.42188,4320,1,-1,6,0,0,487.6673,12.39522,19483.3,14399.6,19489.9,14422.3
