Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,2619,6480.1,2716,6571.1,6579.59229,29409.27539,269.90002,87.98694,1.06079,2113.86157,32299.78125,40909,1,-1,5,0,0,498.97835,9.36029,2619,6480.1,2716,6571.1
405/647,2631.5,6467.6,2728.8,6558.8,7174.25293,36993.99609,289.89285,-70.02045,1.09658,2122.08789,40282.69531,40915,1,-1,5,0,0,627.66603,8.74203,2631.5,6467.6,2728.8,6558.8
405/647,2697.4,6534.5,2728.3,6573.2,4697.04834,21545.57813,273.41782,50.89154,1.12905,2949.33252,25052.70313,15798,1,-1,5,0,0,365.55736,13.60895,2697.4,6534.5,2728.3,6573.2
405/647,2632.4,6483.6,2729.6,6574.8,11524.35938,53250.37109,274.41833,-31.01192,1.03494,2240.61279,59966.97656,40913,1,-1,-3,0,0,903.48307,6.27558,2632.4,6483.6,2729.6,6574.8
405/647,2636.8,6491.7,2733.9,6582.8,7553.3667,33485.29688,268.79242,-39.51703,1.05886,2204.76587,36179.46875,40910,1,-1,5,0,0,568.13499,8.52166,2636.8,6491.7,2733.9,6582.8
405/647,2636.1,6491.9,2733.4,6583.2,7095.49512,35593.36328,285.92584,-7.40161,1.01155,2004.3385,39172.41406,40917,1,-1,-4,0,0,603.90192,8.69297,2636.1,6491.9,2733.4,6583.2
405/647,2637,6484.2,2734,6575.2,8321.97754,38421.69531,274.30594,32.82098,1.11934,2135.96655,42176.64063,40906,1,-1,6,0,0,651.88938,7.85592,2637,6484.2,2734,6575.2
405/647,2719,6559.4,2736.4,6578.4,3830.33301,21058.66211,299.3349,23.15754,1.25207,2252.09058,23637.5625,10009,1,-1,5,0,0,357.296,14.69421,2719,6559.4,2736.4,6578.4
405/647,2640.6,6491.2,2737.7,6582.3,6332.21973,29093.29102,273.63943,-4.48241,1.11625,2153.78174,31547.69531,40911,1,-1,5,0,0,493.61714,9.68368,2640.6,6491.2,2737.7,6582.3
405/647,2630.9,6494.2,2727.9,6585.3,7168.17285,25364.66992,240.14337,-26.01979,1.08208,2068.30225,28320.1875,40907,1,-1,6,0,0,430.35475,8.77911,2630.9,6494.2,2727.9,6585.3
405/647,2623.5,6498.3,2720.7,6589.5,9906.6084,52459.75391,293.77231,26.31168,1.07689,2242.06201,55359.96094,40912,1,-1,5,0,0,890.06891,6.96798,2623.5,6498.3,2720.7,6589.5
405/647,2635,6497.1,2732.2,6588.3,12054.63574,59167.60547,282.8298,33.45595,1.09075,2184.58423,62696.375,40914,1,-1,5,0,0,1003.87901,6.03885,2635,6497.1,2732.2,6588.3
405/647,2621.8,6498.7,2718.9,6589.8,5739.65918,27198.75391,277.90201,-15.24664,1.19738,2074.93652,31010.10938,40908,1,-1,7,0,0,461.4731,10.33841,2621.8,6498.7,2718.9,6589.8
405/647,2603.2,6512.9,2721.2,6598.2,3701.46069,14379.98828,251.6245,77.45232,1.17903,2030.57239,16736.95313,45222,1,-1,5,0,0,243.98095,14.69006,2603.2,6512.9,2721.2,6598.2
405/647,2661.1,6520.1,2730.9,6592.9,13558.22656,67153.36719,284.11401,-32.02198,1.10801,2828.03442,72015.3125,31921,1,-1,-3,0,0,1139.37104,5.86024,2661.1,6520.1,2730.9,6592.9
405/647,2669.3,6517.2,2739.1,6590,11824.14746,54918.55078,275.12802,23.1517,1.02154,2758.73828,59747.82813,31920,1,-1,-4,0,0,931.78658,6.4442,2669.3,6517.2,2739.1,6590
405/647,2637.6,6516.3,2734.9,6607.5,5165.98926,27003.85938,291.87466,-88.76656,1.26599,2031.65723,31909.79688,40916,1,-1,6,0,0,458.16638,11.1432,2637.6,6516.3,2734.9,6607.5
405/647,2680,6546.6,2734.6,6612.5,8504.63281,37933.30078,269.6142,3.59688,1.0894,2574.01025,41030.5,21298,1,-1,5,0,0,643.60293,8.10496,2680,6546.6,2734.6,6612.5
405/647,2619.2,6703,2697.2,6772.1,3019.16553,29442.29688,398.65994,85.3271,1.17353,2187.6521,31251.04688,28480,1,-1,5,0,0,499.53862,17.72114,2619.2,6703,2697.2,6772.1
405/647,2632.8,6714,2710.7,6783,4570.26807,29725.32422,325.57623,77.42492,1.01316,2407.68408,32919.47656,28474,1,-1,-2,0,0,504.34066,12.9365,2632.8,6714,2710.7,6783
405/647,2635.6,6726.1,2713.6,6795.2,3512.28955,21647.3457,316.93295,-4.89716,1.09677,2364.99561,24415.21875,28481,1,-1,5,0,0,367.28402,16.06519,2635.6,6726.1,2713.6,6795.2
405/647,2630.6,6739.7,2708.5,6808.8,3569.51611,27258.77148,352.78384,-17.78421,1.03214,2240.11865,30463.1875,28479,1,-1,-3,0,0,462.4914,15.50957,2630.6,6739.7,2708.5,6808.8
405/647,2637.9,6734.5,2715.8,6803.6,3824.5498,24475.33398,322.94931,58.32078,1.09246,2391.64502,26527.39063,28475,1,-1,-2,0,0,415.26565,14.99264,2637.9,6734.5,2715.8,6803.6
