Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,6838.3,5474.2,6867.6,5514.6,4431.99951,19372.06836,266.89987,39.7274,1.10011,3381.99756,22478.125,16066,1,-1,5,0,0,328.68007,15.0281,6838.3,5474.2,6867.6,5514.6
405/647,6808.5,5460.3,6869.1,5522,4376.43555,23377.47656,295.05215,1.9109,1.27555,2953.3689,28374.92188,23641,1,-1,5,0,0,396.63863,14.42816,6808.5,5460.3,6869.1,5522
405/647,6798.6,5465.7,6865.5,5530.3,5740.98242,24104.34961,261.58618,-28.80749,1.18929,2341.88452,27518.65625,29492,1,-1,6,0,0,408.97127,10.73352,6798.6,5465.7,6865.5,5530.3
405/647,6875.6,5492.3,6869.2,5505.1,6407.31152,30222.97461,277.26236,-42.32984,1.20142,3025.04272,33052.90625,3720,1,-1,6,0,0,512.78414,10.59839,6875.6,5492.3,6869.2,5505.1
405/647,6877.1,5487.8,6870.7,5500.6,5023.83398,20247.53711,256.28824,-37.56983,1.05071,3009.29517,22846.53125,3718,1,-1,-4,0,0,343.53389,12.97653,6877.1,5487.8,6870.7,5500.6
405/647,6786.3,5407.7,6879.5,5501.3,3419.25317,18000.14453,292.90891,-2.13128,1.01222,2143.9812,21162.92188,38974,1,-1,-6,0,0,305.40305,15.91028,6786.3,5407.7,6879.5,5501.3
405/647,6822.7,5461,6875.7,5515.4,3870.68848,22301.07422,306.42841,35.45665,1.17343,2675.56714,25380.20313,20867,1,-1,8,0,0,378.37564,15.45943,6822.7,5461,6875.7,5515.4
405/647,6804.1,5452.6,6870.9,5517.2,4690.52295,22428.22852,279.15607,-12.37681,1.22489,2191.44849,25533.02344,29493,1,-1,6,0,0,380.53302,12.34327,6804.1,5452.6,6870.9,5517.2
405/647,6835.2,5475.7,6879.8,5519.8,5834.71143,28958.26172,284.40472,-4.30534,1.09758,3227.49121,32716.9375,18450,1,-1,-6,0,0,491.32614,11.68097,6835.2,5475.7,6879.8,5519.8
405/647,6859.3,5487.8,6880.8,5531.1,5933.30322,23627.64453,254.75468,-68.46574,1.10944,3776.31836,30358.40625,14189,1,-1,7,0,0,400.88316,12.19421,6859.3,5487.8,6880.8,5531.1
405/647,6858.5,5491.3,6880.1,5534.6,5527.39355,30836.52344,301.53152,30.07604,1.0112,3432.34888,35288.90625,14187,1,-1,-3,0,0,523.19404,12.46175,6858.5,5491.3,6880.1,5534.6
405/647,6843.4,5499,6864.9,5542.3,5187.62305,21141.94727,257.72025,79.74479,1.27319,3894.01587,30632.21875,14188,1,-1,8,0,0,358.70908,13.82198,6843.4,5499,6864.9,5542.3
405/647,6827.5,5389.7,6909.6,5485.3,9874.66211,60699.77734,316.51379,-60.57545,1.02006,2823.04248,63743.92188,39693,1,-1,-2,0,0,1029.87491,7.3596,6827.5,5389.7,6909.6,5485.3
405/647,6835.1,5436.2,6895,5491.4,5838.98193,29564.15234,287.25949,-5.37526,1.15838,2598.15332,33777.48438,23339,1,-1,5,0,0,501.6061,10.88508,6835.1,5436.2,6895,5491.4
405/647,6893.1,5480.8,6886.8,5493.6,8148.00293,36344.81641,269.62234,-8.39194,1.16591,3326.16895,39719.71875,3719,1,-1,5,0,0,616.6516,8.99963,6893.1,5480.8,6886.8,5493.6
405/647,6878.1,5480.8,6889.7,5495.9,15103.11426,70107.00781,275.04749,16.97474,1.02486,3573.17236,73892.54688,6678,1,-1,5,0,0,1189.48457,5.7202,6878.1,5480.8,6889.7,5495.9
405/647,6814.4,5441.1,6881.2,5505.7,5252.04297,24095.86523,273.44336,0.00349,1.12246,2265.51685,26806.67188,29494,1,-1,5,0,0,408.82732,11.38994,6814.4,5441.1,6881.2,5505.7
405/647,6798.7,5405.4,6882,5501.6,3197.40186,15178.28711,278.14612,9.36066,1.21592,2305.00464,18747.77344,39489,1,-1,-4,0,0,257.52544,17.3112,6798.7,5405.4,6882,5501.6
405/647,6763.5,5416.1,6884.3,5509,3467.66187,21779.75195,319.93985,-73.17517,1.28221,2055.59033,24292.07031,46448,1,-1,7,0,0,369.53052,15.46012,6763.5,5416.1,6884.3,5509
