Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,2390.1,3949.7,2388.8,3962,3136.48608,16561.86328,293.35477,-17.95055,1.06476,2557.35034,20478.83594,5936,1,-1,7,0,0,281.00017,18.26293,2390.1,3949.7,2388.8,3962
405/647,2367.9,3922.3,2397.5,3964.2,4765.90234,27566.17773,307.02652,25.60062,1.23112,2922.75244,30247.125,13503,1,-1,5,0,0,467.70707,13.35624,2367.9,3922.3,2397.5,3964.2
405/647,2285.8,3883.4,2369.9,3978.4,5687.74316,25937.91797,272.62006,-9.06229,1.19562,2034.26135,28456.19531,39820,1,-1,5,0,0,440.08087,10.36297,2285.8,3883.4,2369.9,3978.4
405/647,2338,3936.7,2366.8,3978.6,5027.68262,25984.64648,290.22491,12.79327,1.12799,3237.21362,30337.53125,13523,1,-1,5,0,0,440.8737,13.24603,2338,3936.7,2366.8,3978.6
405/647,2352.7,3934.8,2381.5,3976.7,5113.9458,20103.43945,253.11467,-64.10898,1.08909,3182.38623,22405.07813,13522,1,-1,-4,0,0,341.08903,13.03635,2352.7,3934.8,2381.5,3976.7
405/647,2347.5,3942.9,2376.7,3984.8,3038.7688,26961.55469,380.26282,-16.47424,1.11102,2673.5293,31094.0625,13512,1,-1,6,0,0,457.44861,19.01142,2347.5,3942.9,2376.7,3984.8
405/647,2314.2,3933.4,2375.1,3995,3238.78687,20100.13867,318.03036,-5.75665,1.03329,2409.49902,23273.54688,22137,1,-1,-4,0,0,341.03302,17.34225,2314.2,3933.4,2375.1,3995
405/647,2351.5,3963.6,2383,3997,4145.4834,13333.15527,228.94919,53.61062,1.11096,2716.62354,17101.45313,14559,1,-1,-4,0,0,226.21965,14.79886,2351.5,3963.6,2383,3997
405/647,2300.9,3898,2384.9,3993.1,3964.87061,23412.37109,310.21902,62.39184,1.0543,2062.93799,25890.03906,39818,1,-1,5,0,0,397.23068,13.85011,2300.9,3898,2384.9,3993.1
405/647,2275.2,3900.8,2388,3990.3,6677.32471,38010.82031,304.58786,-22.9217,1.11854,2047.47424,41322.76563,43676,1,-1,5,0,0,644.91818,9.12819,2275.2,3900.8,2388,3990.3
405/647,2336.2,3931.4,2398.2,3981.1,7150.95459,30708.88281,264.55148,25.04056,1.15175,2395.82593,32831.53125,24224,1,-1,6,0,0,521.0284,9.08962,2336.2,3931.4,2398.2,3981.1
405/647,2295.4,3897.1,2390.2,3983.3,5060.60791,31029.97461,316.11826,79.67612,1.25694,1818.97449,33980.25,37190,1,-1,6,0,0,526.47627,10.93805,2295.4,3897.1,2390.2,3983.3
405/647,2299,3898.9,2398.7,3972.6,5042.29004,21397.58398,262.98361,-77.16692,1.06846,2289.16675,26515.82813,33914,1,-1,5,0,0,363.04639,11.82685,2299,3898.9,2398.7,3972.6
405/647,2322.6,3922.6,2392.8,3984.2,5803.44629,32056.23242,300.03607,-23.76163,1.15927,2298.81714,37508.96094,26179,1,-1,6,0,0,543.88848,10.52512,2322.6,3922.6,2392.8,3984.2
405/647,2337.2,3922.9,2399.4,3972.6,4759.53223,29730.19531,319.06339,-10.5022,1.1038,2329.07642,33328.25781,24226,1,-1,5,0,0,504.4233,12.38202,2337.2,3922.9,2399.4,3972.6
405/647,2361.7,3954.7,2393.5,3988.2,8561.16113,44992.64063,292.66086,-18.8374,1.18526,3050.38501,48284.14063,14562,1,-1,5,0,0,763.37664,8.41247,2361.7,3954.7,2393.5,3988.2
405/647,2330.3,3928.3,2391.4,3990,3042.28711,23330.46484,353.52637,-25.90463,1.05656,2305.21997,27256.21875,22146,1,-1,-2,0,0,395.841,17.97922,2330.3,3928.3,2391.4,3990
405/647,2331.2,3943,2393.5,3992.8,4293.38574,15000.39063,238.62259,-0.00024,1.2189,2344.67407,17905.96875,24231,1,-1,6,0,0,254.50713,13.65053,2331.2,3943,2393.5,3992.8
405/647,2329.3,3931.4,2399.5,3993,3512.7959,22016.70313,319.60233,26.6902,1.11436,2169.06079,24203.02344,26180,1,-1,5,0,0,373.5508,15.57876,2329.3,3931.4,2399.5,3993
405/647,2329.3,3936.1,2385.3,3996.2,3092.87622,15346.59863,284.37082,7.53666,1.2803,2440.64453,18548.42188,21011,1,-1,5,0,0,260.38114,18.18224,2329.3,3936.1,2385.3,3996.2
405/647,2305.6,3875.4,2399.7,3969.1,13252.85254,79351.60938,312.38013,-76.89903,1.19354,2423.96729,84625.60156,40049,1,-1,5,0,0,1346.33495,5.73966,2305.6,3875.4,2399.7,3969.1
405/647,2310.6,3855.7,2401.5,3942.8,3669.56201,20285.50195,300.15527,-16.84572,1.24924,2186.02271,22748.89063,36543,1,-1,7,0,0,344.17803,15.0789,2310.6,3855.7,2401.5,3942.8
405/647,2341.3,3885.4,2402.3,3947,3945.40601,12871.21094,230.5813,-69.60564,1.03391,2158.76489,15800.52344,22142,1,-1,-5,0,0,218.38197,14.27142,2341.3,3885.4,2402.3,3947
405/647,2325.1,3855.7,2416,3942.7,4273.77051,31066.76953,344.19354,41.83546,1.00248,2087.74854,33796.32031,36541,1,-1,-4,0,0,527.10056,13.03409,2325.1,3855.7,2416,3942.7
405/647,2366.5,3887.1,2413.3,3951.5,4595.39502,28050.64258,315.40619,32.46526,1.15502,2646.05273,30354.41406,21486,1,-1,8,0,0,475.92684,13.3019,2366.5,3887.1,2413.3,3951.5
405/647,2308.4,3860.7,2402.3,3954.5,11152.73535,52899.53516,278.03244,-18.21085,1.13198,2392.03027,57452.51563,40045,1,-1,5,0,0,897.53054,6.50825,2308.4,3860.7,2402.3,3954.5
