Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,1109,18232.5,1104.7,18246.8,4354.48975,21154.79492,281.38181,66.48965,1.10391,4035.68262,24350.54688,1291,1,-1,5,0,0,358.92706,16.28695,1109,18232.5,1104.7,18246.8
405/647,1099.1,18249.5,1096.2,18252.4,3167.74219,14295.85547,271.20044,-61.4368,1.19081,5171.33545,18802.5625,619,1,-1,-3,0,0,242.55349,24.06205,1099.1,18249.5,1096.2,18252.4
405/647,1110.6,18259.7,1107.7,18262.5,3413.93823,18478.48828,297.00626,0.97357,1.06793,5100.38281,22139.25,620,1,-1,-5,0,0,313.51897,22.29241,1110.6,18259.7,1107.7,18262.5
405/647,1120.7,18240.6,1117.7,18249.1,3670.27466,18259.68164,284.74594,-79.89126,1.03694,4809.40527,20654.14063,914,1,-1,-2,0,0,309.80654,20.36681,1120.7,18240.6,1117.7,18249.1
405/647,1127.6,18258.4,1124.7,18267,3396.99219,20256.0625,311.73853,38.28445,1.21011,4276.32959,26718.84375,915,1,-1,-1,0,0,343.67854,20.7942,1127.6,18258.4,1124.7,18267
405/647,1131.7,18263.7,1128.7,18275.5,4617.52783,19522.33398,262.49518,84.95886,1.16572,4827.98389,21491.79688,1089,1,-1,5,0,0,331.22958,16.60328,1131.7,18263.7,1128.7,18275.5
405/647,1133.9,18243.9,1129.9,18258.3,3430.58301,26720.67578,356.28699,-16.38026,1.08274,3987.86401,29024.65625,1311,1,-1,-4,0,0,453.36169,19.99409,1133.9,18243.9,1129.9,18258.3
405/647,1134.6,18276,1132.1,18285.7,4359.19482,25804.0332,310.59961,-53.58505,1.07156,4474.11328,28542.45313,958,1,-1,-2,0,0,437.80929,16.90643,1134.6,18276,1132.1,18285.7
405/647,1135.7,18222.9,1133.8,18225.2,4981.93604,41792.94531,369.75381,13.17522,1.24068,4964.31738,46220.45313,554,1,-1,5,0,0,709.08837,15.59123,1135.7,18222.9,1133.8,18225.2
405/647,1044.4,18203.6,1135.7,18288.4,4409.49658,24948.94141,303.66293,-41.05177,1.29465,2714.03345,28039.35938,36477,1,-1,5,0,0,423.3012,13.90696,1044.4,18203.6,1135.7,18288.4
