Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,13877.4,10063.8,13908.7,10101.8,3506.75635,24798.14453,339.48221,-20.41003,1.14207,3634.96948,29414.5,12809,1,-1,-3,0,0,420.74268,18.89737,13877.4,10063.8,13908.7,10101.8
405/647,13872.8,10033.4,13959.2,10129.8,5351.74561,24971.97656,275.76486,77.84072,1.10316,2606.33374,28451.64844,39180,1,-1,6,0,0,423.69203,11.71335,13872.8,10033.4,13959.2,10129.8
405/647,13886.6,10036.2,13972.8,10132.8,6251.41455,29861.73633,279.01569,66.30606,1.13099,2673.5459,33618.25,39187,1,-1,5,0,0,506.65512,10.40443,13886.6,10036.2,13972.8,10132.8
405/647,13976.4,10096.4,13980.8,10116.3,4858.45947,31884.50391,327.03995,-48.7747,1.20705,3147.94556,34982.67188,4475,1,-1,5,0,0,540.97481,13.46495,13976.4,10096.4,13980.8,10116.3
405/647,13887.7,10043.8,13981.1,10118.3,4481.64746,38715.375,375.21753,-43.88925,1.02872,2530.83105,41059.28125,36070,1,-1,-2,0,0,656.87215,13.33071,13887.7,10043.8,13981.1,10118.3
405/647,13957.7,10092.8,13982.9,10132.4,11697.29297,53667.57422,273.44724,-25.62041,1.06079,3773.28955,58843.8125,13768,1,-1,6,0,0,910.56163,7.02334,13957.7,10092.8,13982.9,10132.4
405/647,13959.9,10086.9,13988,10130.9,16216.7959,87661.83594,296.81305,-46.34122,1.11157,4228.52979,92582.04688,14078,1,-1,5,0,0,1487.33207,5.62735,13959.9,10086.9,13988,10130.9
405/647,13891.1,10059.3,13984.5,10133.8,6665.83936,39218.6875,309.65588,13.9036,1.19624,2748.69629,43216.875,36068,1,-1,6,0,0,665.41171,9.9285,13891.1,10059.3,13984.5,10133.8
405/647,13915.8,10073.6,13977.1,10135.4,5303.75098,34311.71094,324.70566,8.6478,1.11275,2991.76025,37849.75,22159,1,-1,5,0,0,582.15651,12.28696,13915.8,10073.6,13977.1,10135.4
405/647,13897,10045.1,13983.7,10141.4,5514.02832,21817.52734,253.93848,-56.56149,1.23754,2853.22266,28552.09375,39171,1,-1,8,0,0,370.17144,11.80411,13897,10045.1,13983.7,10141.4
405/647,13877.6,10045.5,13964.6,10141.7,4864.42236,32281.17383,328.86621,-34.21139,1.18183,2356.06958,35440.59375,39163,1,-1,5,0,0,547.70499,12.1975,13877.6,10045.5,13964.6,10141.7
405/647,13901.1,10044.7,13988.1,10140.9,7815.63086,39657.41016,287.56787,2.07931,1.16265,2542.50146,43268.42969,39161,1,-1,5,0,0,672.85538,8.59216,13901.1,10044.7,13988.1,10140.9
405/647,13895.3,10056.7,13988.7,10132.9,6087.34863,26738.09375,267.55396,-0.00006,1.07521,2861.58398,30967.39063,33628,1,-1,8,0,0,453.65722,10.87348,13895.3,10056.7,13988.7,10132.9
405/647,13874.7,10042.4,13989.5,10132.2,6142.02393,35341.38672,306.22897,-7.60785,1.16656,2438.58008,38828.57813,48043,1,-1,5,0,0,599.62671,10.23068,13874.7,10042.4,13989.5,10132.2
405/647,13939.7,10077.1,13994.5,10129.3,11995.45898,50497.78125,261.93161,-37.67804,1.0725,3573.46631,53914.15625,22533,1,-1,5,0,0,856.78071,6.80684,13939.7,10077.1,13994.5,10129.3
