0,2,5
4,2,4
8,1,3
12,4,8
16,8,11
20,10,19
24,20,34
28,36,58
32,37,58
36,36,70
40,51,78
44,36,59
48,39,69
52,17,34
56,20,42
60,21,43
64,34,46
68,26,45
72,31,58
76,31,52
80,37,59
84,30,55
88,30,62
92,25,42
96,30,51
100,26,43
104,27,48
108,32,58
112,29,52
116,27,44
120,34,52
124,18,44
128,36,57
132,41,66
136,14,32
140,29,46
144,30,47
148,32,56
152,22,50
156,34,59
160,31,51
164,28,47
168,21,48
172,27,40
176,33,57
180,0,0
