Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,19441.2,13371.5,19499.9,13432.4,3199.01343,18087.48047,303.55768,56.98982,1.0771,3269.79272,20844.15625,4776,1,-1,7,0,0,306.88485,19.71113,19441.2,13371.5,19499.9,13432.4
405/647,19421.5,13379.7,19480.2,13440.7,5189.05762,33827.27734,325.94888,-77.49282,1.08841,3406.31348,36232.64063,4779,1,-1,5,0,0,573.93727,13.09015,19421.5,13379.7,19480.2,13440.7
405/647,19509.8,13231.3,19505.3,13442,4257.5376,26414.31836,317.98065,60.31151,1.03042,3024.54834,29643.125,15551,1,-1,-5,0,0,448.16382,14.87381,19509.8,13231.3,19505.3,13442
405/647,19441.4,13384.7,19500.1,13445.6,6842.51904,47132.09375,335.05075,-89.39706,1.06019,3252.73877,49486.79688,4777,1,-1,-6,0,0,799.6761,10.21807,19441.4,13384.7,19500.1,13445.6
405/647,19436.7,13385.4,19495.4,13446.3,9781.57617,53723.85547,299.18472,2.1739,1.19434,3557.37305,55842.71875,4778,1,-1,7,0,0,911.51654,7.90935,19436.7,13385.4,19495.4,13446.3
405/647,19511.6,13222.1,19492,13449.8,2311.34839,13874.69043,312.78018,0,1.15527,2849.97681,16359.14063,16197,1,-1,10,0,0,235.40771,24.9944,19511.6,13222.1,19492,13449.8
405/647,19505.1,13223.9,19485.4,13451.6,3763.24487,21414.58984,304.53265,-10.37479,1.18047,2882.60693,24697.26563,16196,1,-1,10,0,0,363.33492,16.27714,19505.1,13223.9,19485.4,13451.6
405/647,19505.2,13241.3,19500.7,13452,4647.91162,32058.46484,335.27615,-23.80474,1.09539,2888.604,34593.40625,15552,1,-1,5,0,0,543.92636,13.55948,19505.2,13241.3,19500.7,13452
405/647,19453.1,13363.3,19509.5,13446.5,3418.16748,21687.72852,321.56635,-84.36009,1.06363,3074.51611,26266.70313,6149,1,-1,-2,0,0,367.96918,18.12416,19453.1,13363.3,19509.5,13446.5
405/647,19496.6,13243.8,19476.8,13471.6,3341.625,11753.21094,239.41957,-81.76324,1.27396,2802.54956,14105.07813,16202,1,-1,-2,0,0,199.4132,17.9813,19496.6,13243.8,19476.8,13471.6
405/647,19419.3,13392.6,19475.6,13476,3030.66089,22039.85352,344.2674,-81.78763,1.15018,2925.75171,24104.17188,6155,1,-1,-4,0,0,373.94358,19.76153,19419.3,13392.6,19475.6,13476
405/647,19507.1,13233.8,19487.4,13461.6,2835.83496,13858.29199,282.21143,-21.23936,1.14629,2853.80908,17001.35938,16200,1,-1,8,0,0,235.12948,20.83692,19507.1,13233.8,19487.4,13461.6
405/647,19526.5,13258.9,19506.8,13486.6,2909.33936,19414.82031,329.78412,88.21257,1.07594,2855.7771,22759.92188,16198,1,-1,5,0,0,329.40543,20.31453,19526.5,13258.9,19506.8,13486.6
405/647,19443.4,13420.7,19504.8,13489.1,2316.37427,13927.75098,313.03751,0,1.04425,3187.6748,15967.9375,5397,1,-1,6,0,0,236.30797,26.12696,19443.4,13420.7,19504.8,13489.1
405/647,19512.2,13281.6,19507.7,13492.4,3146.04614,22627.91797,342.37338,18.0959,1.07729,2761.98535,25417.71875,15554,1,-1,5,0,0,383.9211,18.69725,19512.2,13281.6,19507.7,13492.4
405/647,19453,13380.9,19509.4,13464.3,2873.25635,19650.88477,333.85977,19.73249,1.01158,2803.40747,23011.03125,6154,1,-1,-3,0,0,333.41067,20.38955,19453,13380.9,19509.4,13464.3
405/647,19582.4,13239.6,19562.7,13467.4,3544.35156,15558.11426,267.46707,-7.89389,1.28954,2847.34131,20252.28125,16199,1,-1,-4,0,0,263.96986,17.12502,19582.4,13239.6,19562.7,13467.4
