Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,23432.2,17010.3,23473.5,17185.3,3592.24341,20733.37109,306.69894,60.68215,1.06883,3208.59497,24622.84375,11325,1,-1,5,0,0,351.77689,17.64773,23432.2,17010.3,23473.5,17185.3
405/647,23510,16948.3,23488.3,17180.3,4243.38525,26958.86914,321.77689,-24.58456,1.01518,3300.56348,28937.39063,12751,1,-1,-2,0,0,457.40305,15.39794,23510,16948.3,23488.3,17180.3
405/647,23449.3,17098.4,23487.1,17217.8,2179.75854,13621.49609,319.13058,-83.07278,1.28897,3234.34521,16779.07813,7539,1,-1,-3,0,0,231.11184,27.79243,23449.3,17098.4,23487.1,17217.8
405/647,23521.3,16963.7,23491.1,17217.1,3427.73853,25873.20313,350.73691,-55.04807,1.10553,3070.67261,28000.04688,17052,1,-1,-3,0,0,438.98288,18.04521,23521.3,16963.7,23491.1,17217.1
405/647,23493.3,17116.6,23493.3,17116.6,2277.50732,11325.95215,284.68704,-42.49179,1.14324,3159.60156,13852.53125,425,1,-1,5,0,0,192.16403,26.47427,23493.3,17116.6,23493.3,17116.6
405/647,23497,17173.9,23497,17173.9,2725.77539,9952.93066,243.94431,-81.00527,1.04755,3017.61719,12183.75,366,1,-1,-5,0,0,168.86839,22.14391,23497,17173.9,23497,17173.9
405/647,23526.5,16921.9,23496.4,17175.1,3199.96948,10669.69922,233.11136,63.90658,1.02475,3044.03174,12998.4375,17047,1,-1,5,0,0,181.02959,19.28746,23526.5,16921.9,23496.4,17175.1
405/647,23490.6,16984.4,23499,17203.8,7664.4751,41264.45703,296.21503,-81.8552,1.07792,3675.0498,46988.5625,13478,1,-1,5,0,0,700.12166,9.71561,23490.6,16984.4,23499,17203.8
405/647,23528.5,16957.4,23499.1,17206.6,3496.37207,23101.02539,328.14594,-42.98482,1.28168,3042.56128,25504.5,16922,1,-1,6,0,0,391.94817,17.68856,23528.5,16957.4,23499.1,17206.6
405/647,23525.9,16967.7,23496.5,17216.8,2466.16846,18810.03516,352.5686,4.58859,1.0053,2960.9978,20991.10938,16920,1,-1,-3,0,0,319.14422,23.89756,23525.9,16967.7,23496.5,17216.8
405/647,23447.1,17109.4,23500.2,17200.7,3876.5564,19719.40625,287.92813,-58.41422,1.07996,3424.50732,30679.14063,6522,1,-1,6,0,0,334.57325,16.93899,23447.1,17109.4,23500.2,17200.7
405/647,23460.3,17034.5,23501.5,17209.4,5079.6543,39639.74219,356.62234,11.00847,1.02105,3280.63477,42142.89063,11332,1,-1,-3,0,0,672.55561,13.13069,23460.3,17034.5,23501.5,17209.4
405/647,23451.9,17044,23493.2,17218.9,4803.12988,33639.50391,337.84915,46.15897,1.00237,3243.87085,35579.32813,11330,1,-1,5,0,0,570.75137,13.73396,23451.9,17044,23493.2,17218.9
405/647,23493.8,17001,23502,17220.4,2465.59229,16435.84375,329.60638,51.06291,1.22183,3167.15308,19023.5,13474,1,-1,5,0,0,278.86203,24.59333,23493.8,17001,23502,17220.4
405/647,23496.4,16974.3,23504.9,17193.5,6363.44775,32083.26172,286.65085,55.63989,1.27651,3877.0874,42832.71875,13483,1,-1,6,0,0,544.34708,11.55448,23496.4,16974.3,23504.9,17193.5
405/647,23497.2,16980.7,23505.8,17199.9,6645.36084,38875.97266,308.7746,-81.62425,1.11609,3659.49536,45027.73438,13484,1,-1,5,0,0,659.59697,10.90257,23497.2,16980.7,23505.8,17199.9
405/647,23467.1,17028.1,23508.2,17203.1,2924.87744,18070.05078,317.31171,60.01866,1.01446,2999.5896,20750.10938,11341,1,-1,-4,0,0,306.58913,20.62572,23467.1,17028.1,23508.2,17203.1
405/647,23526.3,16974.3,23496.9,17223.4,4193.52686,19531.72266,275.51218,73.22355,1.22541,3099.65259,21681.01563,16921,1,-1,-2,0,0,331.38888,15.25743,23526.3,16974.3,23496.9,17223.4
405/647,23449,17175.6,23505.9,17224.8,2513.94067,15483.81934,316.82666,45.75907,1.17803,3271.5249,19168.28125,4105,1,-1,-3,0,0,262.70932,24.49965,23449,17175.6,23505.9,17224.8
405/647,23451.3,17055.1,23492.5,17230,9902.71973,72881.96094,346.33231,70.04357,1.05907,3387.25171,75942.67188,11328,1,-1,-4,0,0,1236.56637,7.68835,23451.3,17055.1,23492.5,17230
405/647,23462.5,17046,23487.1,17233.5,2631.26123,18532.06836,338.79752,-69.58245,1.08151,3266.98145,21332.90625,11707,1,-1,-2,0,0,314.42804,23.46727,23462.5,17046,23487.1,17233.5
405/647,23450.9,17064.7,23475.4,17252.2,3005.16455,15054.89648,285.73599,-74.50556,1.27427,3324.98511,17763.73438,11708,1,-1,9,0,0,255.43191,21.01077,23450.9,17064.7,23475.4,17252.2
405/647,23453.1,17115.8,23491,17235.2,4555.42676,22548.65234,284.02463,-63.72601,1.20718,3140.30762,24854.92188,7538,1,-1,5,0,0,382.57622,14.26392,23453.1,17115.8,23491,17235.2
405/647,23451,17075.2,23492.1,17250.1,2698.93823,18818.91992,337.10181,44.29929,1.1815,3250.53394,22654.84375,11340,1,-1,-3,0,0,319.29497,22.88532,23451,17075.2,23492.1,17250.1
405/647,23531.7,16979.4,23501.5,17232.6,3795.75562,22110.62109,308.11411,-61.73386,1.15561,3098.54736,24501.17188,17048,1,-1,6,0,0,375.14427,16.591,23531.7,16979.4,23501.5,17232.6
405/647,23462.7,17065.1,23503.9,17240,4746.83984,32957.70313,336.38483,24.72905,1.00122,3191.13599,35228.34375,11335,1,-1,-4,0,0,559.18346,13.79366,23462.7,17065.1,23503.9,17240
405/647,23464.1,17063,23505.4,17237.9,6391.52588,42539.5625,329.34756,-28.57675,1.13959,3201.96924,46990.5,11329,1,-1,5,0,0,721.756,10.75724,23464.1,17063,23505.4,17237.9
405/647,23446.1,17166.9,23502.1,17251.2,4157.06738,26637.61719,323.15759,0,1.22232,3052.08838,28750.67188,6201,1,-1,10,0,0,451.95246,15.22868,23446.1,17166.9,23502.1,17251.2
405/647,23449.8,17076.9,23491.1,17251.9,6546.5,40266.76953,316.61322,89.16142,1.13992,3488.13818,42977.23438,11326,1,-1,-2,0,0,683.1942,10.85741,23449.8,17076.9,23491.1,17251.9
405/647,23488.3,17252.4,23492.8,17252.2,2002.14685,9382.12695,276.3522,-89.16391,1.2219,3093.47021,10983.95313,628,1,-1,-2,0,0,159.18373,29.55755,23488.3,17252.4,23492.8,17252.2
405/647,23438.6,17202.7,23495.4,17251.6,3431.85107,19986.18555,308.07819,-80.31418,1.10226,3323.448,22295.04688,4095,1,-1,-4,0,0,339.09961,18.62701,23438.6,17202.7,23495.4,17251.6
405/647,23450.3,17165,23506.6,17248.6,6492.99756,18345.44141,214.58615,-14.0582,1.2641,3074.61768,22786.73438,6164,1,-1,9,0,0,311.2616,10.66768,23450.3,17165,23506.6,17248.6
405/647,23466.1,17062.4,23507.3,17237.3,8160.35693,49995.13281,315.98721,33.76199,1.04385,3391.36597,52585.0625,11331,1,-1,5,0,0,848.25242,8.98877,23466.1,17062.4,23507.3,17237.3
405/647,23467.3,17072.7,23508.6,17233.9,2737.82666,16597.45117,314.32431,82.56154,1.05471,3025.35059,21254.82813,10037,1,-1,-2,0,0,281.60397,21.96531,23467.3,17072.7,23508.6,17233.9
405/647,23534.3,17013.2,23588.7,17101.5,4298.06934,28727.25586,330.04306,-23.94131,1.26732,2897.08984,30977.59375,6391,1,-1,5,0,0,487.40673,14.51522,23534.3,17013.2,23588.7,17101.5
405/647,23537.5,17011.2,23591.9,17099.6,3831.04395,25562.24219,329.76239,-41.09018,1.12194,3077.61743,27781.75,6393,1,-1,-5,0,0,433.70689,16.39388,23537.5,17011.2,23591.9,17099.6
405/647,23503.3,17013.6,23557.6,17102.2,3927.63843,17650.37305,270.62717,-75.45783,1.29474,3006.0564,19832.23438,6404,1,-1,5,0,0,299.46858,15.97498,23503.3,17013.6,23557.6,17102.2
405/647,23551.8,17106.8,23551.8,17106.8,2781.49341,10670.15137,250.03827,19.28711,1.19785,2984.5415,13130.46875,373,1,-1,-3,0,0,181.03726,21.63757,23551.8,17106.8,23551.8,17106.8
405/647,23690.1,16766.9,23557,17109.4,2087.29224,7300.12988,238.74478,-11.48098,1.10922,3145.12427,9709.90625,21130,1,-1,6,0,0,123.85911,28.71909,23690.1,16766.9,23557,17109.4
405/647,23544.6,17111.4,23544.6,17111.4,2274.94775,12974.25977,304.87079,-73.37228,1.24882,2971.43262,16407.79688,365,1,-1,-2,0,0,220.13037,25.8076,23544.6,17111.4,23544.6,17111.4
405/647,23499.9,16902.9,23509.9,17127.1,2778.51807,14788.89258,294.52451,32.17358,1.0194,3136.08545,17614.8125,13720,1,-1,5,0,0,250.9187,22.01406,23499.9,16902.9,23509.9,17127.1
405/647,23518.6,17126.2,23518.6,17126.2,2474.23828,12146.56543,282.85654,67.57257,1.08701,2936.69312,15436.03125,385,1,-1,-2,0,0,206.08713,23.82421,23518.6,17126.2,23518.6,17126.2
405/647,23661.3,16816.2,23556.1,17113,3533.2207,23478.19141,329.08429,-4.0937,1.01388,3156.57495,25777.82813,20522,1,-1,-6,0,0,398.34743,17.77326,23661.3,16816.2,23556.1,17113
405/647,23558.8,17115,23558.8,17115,5070.5918,27525.58203,297.43985,-78.96931,1.15481,3339.71216,30882.10938,264,1,-1,8,0,0,467.01829,13.28669,23558.8,17115,23558.8,17115
405/647,23508.4,17026.7,23562.8,17115.1,3999.72192,24783.11914,317.77762,90,1.105,3221.09839,27413.17188,6395,1,-1,7,0,0,420.48775,16.07064,23508.4,17026.7,23562.8,17115.1
405/647,23562,17117.3,23562.2,17117.3,2428.19922,8511.7627,239.01646,-88.89594,1.1042,3168.30591,9549.01563,508,1,-1,-2,0,0,144.41652,25.08292,23562,17117.3,23562.2,17117.3
405/647,23517.4,17146.3,23520.7,17146.2,2735.37671,11372.62695,260.30472,81.58269,1.03098,3109.52808,13535.125,593,1,-1,-3,0,0,192.95595,22.30515,23517.4,17146.3,23520.7,17146.2
405/647,23539.7,17120.4,23540.9,17120.3,2314.90918,10101.86523,266.68219,36.96867,1.10033,2991.3064,12686.98438,533,1,-1,-2,0,0,171.39532,25.52785,23539.7,17120.4,23540.9,17120.3
405/647,23577.8,16883.9,23547.7,17136.9,4016.04346,23149.70703,306.50232,-44.61569,1.14661,3308.85962,25508.875,17040,1,-1,5,0,0,392.77413,16.18742,23577.8,16883.9,23547.7,17136.9
405/647,23667.6,16823.6,23562.4,17120.4,3821.55029,23504.04883,316.60065,-1.63717,1.20274,2999.26025,24956.25,20521,1,-1,5,0,0,398.78615,16.28495,23667.6,16823.6,23562.4,17120.4
405/647,23547,17140.8,23549.8,17140.7,2958.91382,7412.54834,202.05884,-59.27326,1.13365,3054.9397,9899.95313,581,1,-1,7,0,0,125.76648,20.80507,23547,17140.8,23549.8,17140.7
405/647,23550.3,17147.4,23550.3,17147.4,2321.99585,7537.521,230.00844,71.94531,1.10521,3446.35889,10695.42188,115,1,-1,-4,0,0,127.88686,27.07934,23550.3,17147.4,23550.3,17147.4
405/647,23556.9,17143.5,23556.9,17143.5,2492.36597,15972.11133,323.17331,9.49689,1.05979,3100.3938,18472.70313,464,1,-1,-4,0,0,270.99402,24.14577,23556.9,17143.5,23556.9,17143.5
405/647,23554.5,16917.4,23564.5,17141.6,2760.3208,11123.78418,256.2753,58.36395,1.22529,3277.2041,13328,13723,1,-1,-4,0,0,188.73391,22.60337,23554.5,16917.4,23564.5,17141.6
405/647,23594.9,16864.5,23567.2,17104.8,3210.03369,22012.73242,334.30463,-1.97459,1.0251,2910.6272,25572.26563,16647,1,-1,-4,0,0,373.48343,18.74815,23594.9,16864.5,23567.2,17104.8
405/647,23534.7,17019.2,23589,17107.6,4452.0293,24508.82813,299.53149,-16.69381,1.02187,3138.09619,26702.28125,6397,1,-1,-4,0,0,415.83393,14.52418,23534.7,17019.2,23589,17107.6
405/647,23571.1,17117.9,23571.1,17117.9,5518.58887,37543.42188,332.97617,29.86295,1.19641,3185.34155,41012.26563,265,1,-1,5,0,0,636.98798,12.13259,23571.1,17117.9,23571.1,17117.9
405/647,23538.3,17014.7,23592.6,17103.2,5188.36914,27768.20117,295.33755,-36.16074,1.13096,3013.26685,29593.92188,6402,1,-1,6,0,0,471.13474,12.57755,23538.3,17014.7,23592.6,17103.2
405/647,23541.5,17014.4,23595.8,17102.9,4670.27979,31416.02148,331.10397,30.1925,1.04289,3076.43457,34207.70313,6396,1,-1,-4,0,0,533.02621,13.81042,23541.5,17014.4,23595.8,17102.9
405/647,23532.3,17047,23594.1,17116.5,5253.2334,34866.10156,328.88843,-28.2825,1.01831,3243.82886,38589.39063,5483,1,-1,-3,0,0,591.56269,12.73109,23532.3,17047,23594.1,17116.5
405/647,23587.6,17122.3,23587.6,17122.3,2406.4231,9760.59473,257.10608,-9.16116,1.06487,3103.74902,12714.29688,382,1,-1,-2,0,0,165.60508,25.03667,23587.6,17122.3,23587.6,17122.3
405/647,23560,17126.2,23567,17126,2322.22656,11787.25879,287.61685,-86.91395,1.16776,3011.13672,14550.29688,696,1,-1,-2,0,0,199.99088,25.48966,23560,17126.2,23567,17126
405/647,23592.6,16897.9,23564.9,17138.2,5238.47217,35715.30469,333.3382,70.54736,1.15066,3101.45044,37467.92188,16646,1,-1,5,0,0,605.97086,12.56116,23592.6,16897.9,23564.9,17138.2
405/647,23603.2,16890.5,23575.5,17130.8,7548.58984,39619.70313,292.47107,-61.3239,1.06773,3233.58911,42272.14063,16643,1,-1,-3,0,0,672.21562,9.45648,23603.2,16890.5,23575.5,17130.8
405/647,23529.3,17107.7,23578.2,17134.8,6850.37305,30283.71875,268.41559,79.15635,1.11808,3184.68262,33295.54688,3029,1,-1,5,0,0,513.81477,10.21318,23529.3,17107.7,23578.2,17134.8
405/647,23529,17036.2,23583.3,17124.7,3795.02271,22590.60742,311.47055,-74.68363,1.14899,3149.65845,25557.73438,6399,1,-1,-2,0,0,383.28806,16.69242,23529,17036.2,23583.3,17124.7
405/647,23529.2,17049.3,23583.5,17137.9,3994.59546,25004.87891,319.40097,90,1.12009,2971.23511,27864.48438,6403,1,-1,5,0,0,424.25028,15.61321,23529.2,17049.3,23583.5,17137.9
405/647,23614.1,16893.8,23584,17146.7,3810.51978,22923.22852,313.11655,-85.04993,1.09114,3032.12134,28234.04688,17037,1,-1,-3,0,0,388.93154,16.39605,23614.1,16893.8,23584,17146.7
405/647,23548.7,17007,23584.4,17140.2,4994.6416,29698.72656,311.29846,-66.82503,1.02751,3593.21777,32370.32813,8859,1,-1,-3,0,0,503.88938,13.80177,23548.7,17007,23584.4,17140.2
405/647,23560.7,17009,23596.3,17142.3,13405.65527,88676.9375,328.33832,69.60534,1.03994,4049.17236,92152.54688,8868,1,-1,5,0,0,1504.555,6.39889,23560.7,17009,23596.3,17142.3
405/647,23599.3,17134.6,23599.3,17134.6,2208.60742,17510.35742,359.45825,-30.58796,1.19561,3323.62939,19703.15625,158,1,-1,5,0,0,297.09298,27.7406,23599.3,17134.6,23599.3,17134.6
405/647,23552.5,17010.6,23606.9,17099,4944.17871,23208.94141,276.59277,42.79035,1.14227,3103.63647,26433.8125,6394,1,-1,-4,0,0,393.77915,13.25842,23552.5,17010.6,23606.9,17099
405/647,23637.8,16875.4,23607.7,17128.4,3534.33887,21902.29883,317.79788,45.36005,1.02822,3183.88794,25325.48438,17038,1,-1,-4,0,0,371.60973,17.83807,23637.8,16875.4,23607.7,17128.4
405/647,23717.5,16769.2,23629.7,17095.1,3197.86108,21951.87305,334.47696,-26.52138,1.07149,2975.26587,24428.96875,23685,1,-1,5,0,0,372.45084,18.97167,23717.5,16769.2,23629.7,17095.1
405/647,23579.9,17012,23634.2,17100.5,5695.15771,30790.06445,296.83331,-87.09383,1.03428,3160.14404,33861.9375,6400,1,-1,5,0,0,522.40579,11.82011,23579.9,17012,23634.2,17100.5
405/647,23622.1,17102.5,23622.1,17102.5,2085.52417,12551.10156,313.17966,63.08136,1.01893,3070.62891,15968.1875,368,1,-1,-5,0,0,212.95077,28.32705,23622.1,17102.5,23622.1,17102.5
405/647,23686.6,16826.9,23651.2,17096.7,2607.0542,16571.4082,321.85843,46.65985,1.13591,3155.67627,20001.85938,17779,1,-1,8,0,0,281.16211,23.34734,23686.6,16826.9,23651.2,17096.7
405/647,23603.8,17009.7,23655.9,17102.7,3483.44653,17655.61914,287.40686,19.16803,1.15766,3174.95459,20571.21875,6587,1,-1,8,0,0,299.55759,18.08481,23603.8,17009.7,23655.9,17102.7
405/647,23570.4,17010.8,23622.5,17104,2347.12354,19432.4043,367.32925,0.00055,1.02143,3193.5083,21209.09375,6592,1,-1,7,0,0,329.70377,25.78533,23570.4,17010.8,23622.5,17104
405/647,23561,17020.5,23615.3,17109,3886.97168,24824.85742,322.62494,90,1.0537,3160.06177,27628.96875,6401,1,-1,6,0,0,421.19591,16.35516,23561,17020.5,23615.3,17109
405/647,23588.5,17007.5,23636.3,17108.3,3859.55737,16742.8457,265.89252,39.94856,1.1979,3470.43848,21403.51563,6862,1,-1,-3,0,0,284.07084,17.12377,23588.5,17007.5,23636.3,17108.3
405/647,23678.3,16838.8,23644.8,17107.1,3692.49121,24652.99414,329.86432,78.91309,1.26397,3297.89648,27052.07813,17567,1,-1,6,0,0,418.27996,17.38306,23678.3,16838.8,23644.8,17107.1
405/647,23574.4,17037.8,23626.5,17130.9,2485.73657,15893.9043,322.81073,0,1.11775,3313.97388,23981.28125,6591,1,-1,9,0,0,269.66711,24.88033,23574.4,17037.8,23626.5,17130.9
405/647,23548.2,17041.7,23600.3,17134.8,3612.4939,13358.72559,245.49304,-13.67646,1.08379,3362.35034,17969.82813,6588,1,-1,6,0,0,226.65349,17.97363,23548.2,17041.7,23600.3,17134.8
405/647,23632.9,16890.5,23602.9,17143.5,5555.18701,34573.08203,318.47836,50.10567,1.02493,3098.86816,37687.45313,17039,1,-1,-4,0,0,586.59111,11.96641,23632.9,16890.5,23602.9,17143.5
405/647,23604.1,17140.7,23604.1,17140.7,2159.44116,12388.87598,305.77747,86.59654,1.13257,3175.52515,14982.26563,214,1,-1,-2,0,0,210.19834,27.83199,23604.1,17140.7,23604.1,17140.7
405/647,23570.8,17002.8,23606.4,17136.1,3993.61475,28396.48242,340.41559,-74.71054,1.17658,3324.5127,31021.875,8869,1,-1,5,0,0,481.7946,16.26417,23570.8,17002.8,23606.4,17136.1
405/647,23574.3,17006.3,23609.9,17139.5,13302.51563,97042.16406,344.80502,-35.87169,1.12784,3822.29883,99358.35938,8867,1,-1,5,0,0,1646.48528,6.33001,23574.3,17006.3,23609.9,17139.5
405/647,23604,16918.8,23609,17139.6,2762.02222,26295.44727,393.90085,-84.03967,1.16057,3097.50269,28315.375,13399,1,-1,-6,0,0,446.14697,21.93699,23604,16918.8,23609,17139.6
405/647,23574,17013.8,23609.6,17147.1,9829.12207,59621.33594,314.41534,-21.49899,1.05311,3788.8894,62098.42188,8866,1,-1,5,0,0,1011.57732,8.01013,23574,17013.8,23609.6,17147.1
405/647,23582.9,17147.6,23582.9,17147.6,2452.49438,11199.22461,272.80368,74.99799,1.02132,3067.53198,13830.9375,405,1,-1,-4,0,0,190.01388,24.46208,23582.9,17147.6,23582.9,17147.6
405/647,23541.6,16920.4,23511.5,17173.7,3799.70215,22414.86719,310.06555,44.34926,1.11759,3225.64868,25954.21875,17049,1,-1,-2,0,0,380.30633,16.82662,23541.6,16920.4,23511.5,17173.7
405/647,23652.5,16834.3,23520.5,17175,4534.64844,30563.31641,331.42758,6.15583,1.21749,3148.36572,32912.07813,21106,1,-1,5,0,0,518.55862,14.28104,23652.5,16834.3,23520.5,17175
405/647,23645.9,16802.1,23526,17151,3741.29126,28373.04102,351.56241,-49.59039,1.05417,2906.63525,31924.875,21986,1,-1,5,0,0,481.39687,16.36536,23645.9,16802.1,23526,17151
405/647,23473.4,17014.3,23514.5,17189.3,5274.19336,38412.61719,344.52374,71.5834,1.03464,3336.30542,41041.03125,11339,1,-1,-3,0,0,651.73535,12.80081,23473.4,17014.3,23514.5,17189.3
405/647,23542.4,16951.1,23512.2,17204.2,4141.8291,25396.88672,316.12177,-80.31129,1.2797,3170.2793,28208.3125,17046,1,-1,6,0,0,430.90136,15.49885,23542.4,16951.1,23512.2,17204.2
405/647,23504.7,16975.3,23512.9,17194.7,5231.67041,41090.01563,357.77353,68.90395,1.01189,3332.54858,42363.125,13476,1,-1,-2,0,0,697.16197,12.87493,23504.7,16975.3,23512.9,17194.7
405/647,23461.1,17111,23514.2,17202.2,3591.87988,25923.11914,342.95956,46.59926,1.06743,3136.49194,28297.89063,6523,1,-1,5,0,0,439.82979,17.46202,23461.1,17111,23514.2,17202.2
405/647,23505.8,16993.5,23514.2,17212.8,7237.14893,33880.17578,276.21631,-76.80053,1.2265,3958.33472,48955.59375,13481,1,-1,6,0,0,574.83478,10.45907,23505.8,16993.5,23514.2,17212.8
405/647,23468.5,17055.8,23509.7,17230.8,4129.0498,29441.18164,340.88885,-83.17418,1.15723,3122.65503,32395.90625,11334,1,-1,-3,0,0,499.5197,15.43156,23468.5,17055.8,23509.7,17230.8
405/647,23458.7,17125.6,23514.6,17210,4723.43506,28523.60547,313.71368,-12.77031,1.02882,3162.67505,30334.92188,6202,1,-1,5,0,0,483.95146,13.82876,23458.7,17125.6,23514.6,17210
405/647,23545.7,16963.9,23523.9,17195.9,4607.89453,28768.65625,318.98389,-38.55275,1.28569,3370.1438,31542.95313,12749,1,-1,8,0,0,488.10916,14.4482,23545.7,16963.9,23523.9,17195.9
405/647,23464.6,17114.8,23520.5,17199.3,4418.94287,19452.61914,267.84903,-44.55283,1.05499,3198.77979,21956.79688,6207,1,-1,5,0,0,330.04675,14.76325,23464.6,17114.8,23520.5,17199.3
405/647,23507.7,16983.9,23516.1,17203.2,5468.52441,32890.84766,313.0853,-88.70015,1.23578,3621.08032,39292.0625,13479,1,-1,5,0,0,558.04914,12.80216,23507.7,16983.9,23516.1,17203.2
405/647,23460.3,17129.4,23516.3,17213.7,4824.66211,24148.06445,285.60641,44.69654,1.29675,3069.37695,26060.53125,6203,1,-1,6,0,0,409.71297,13.47128,23460.3,17129.4,23516.3,17213.7
405/647,23475.4,17055.5,23516.8,17230.5,2447.21021,23544.16992,395.97366,68.48175,1.03012,3048.92017,26130.90625,11319,1,-1,-4,0,0,399.46687,24.328,23475.4,17055.5,23516.8,17230.5
405/647,23477.4,17056.6,23518.6,17231.6,4365.10889,28217.04492,324.57751,-55.90996,1.02225,3383.39526,30757.625,11338,1,-1,-2,0,0,478.75014,15.15951,23477.4,17056.6,23518.6,17231.6
405/647,23463,17122.4,23518.9,17206.9,2470.00464,14447.24219,308.74777,-39.84012,1.04024,3162.6875,18140.3125,6205,1,-1,-2,0,0,245.12202,24.56064,23463,17122.4,23518.9,17206.9
405/647,23608.8,16874.4,23521,17200.4,6253.2915,36476.78125,308.32883,-80.80581,1.04709,2885.37866,40001.45313,22953,1,-1,-4,0,0,618.8906,10.61293,23608.8,16874.4,23521,17200.4
405/647,23517.3,16992.5,23525.8,17211.8,4856.13037,34060.16797,338.09479,90,1.29592,3538.29858,44252.375,13480,1,-1,10,0,0,577.88865,14.03848,23517.3,16992.5,23525.8,17211.8
405/647,23469.9,17122,23525.8,17206.5,7984.48828,37624.33984,277.12207,82.78995,1.13019,3269.29663,40190.46875,6206,1,-1,5,0,0,638.36089,9.08913,23469.9,17122,23525.8,17206.5
405/647,23469.4,17129.1,23525.4,17213.5,5236.66455,31161.00586,311.41434,-60.57566,1.07463,3040.49463,33954.76563,6204,1,-1,-2,0,0,528.69944,12.50023,23469.4,17129.1,23525.4,17213.5
405/647,23462.6,17189.9,23519.5,17238.9,2506.72266,20356.75195,363.79886,-32.73853,1.05479,3039.1084,23403.6875,4099,1,-1,-3,0,0,345.3869,23.78962,23462.6,17189.9,23519.5,17238.9
405/647,23512,17003.6,23520.3,17223,4319.73584,27867.0625,324.24796,82.40131,1.10595,3337.72485,32608.48438,13477,1,-1,5,0,0,472.81209,15.22149,23512,17003.6,23520.3,17223
405/647,23613.9,16904.7,23526.1,17230.6,3526.20239,18144.98047,289.59085,-23.91782,1.12519,3136.64111,21758.57813,22951,1,-1,-7,0,0,307.86044,17.80524,23613.9,16904.7,23526.1,17230.6
405/647,23613.1,16913.3,23525.3,17239.2,4495.3584,28690.47266,322.51279,64.14463,1.10175,2993.18848,30490.76563,22955,1,-1,6,0,0,486.78264,14.1383,23613.1,16913.3,23525.3,17239.2
405/647,23468.6,17187.4,23525.5,17236.5,4028.67676,23849.01563,310.60916,-46.19141,1.22768,3254.89795,25982,4102,1,-1,6,0,0,404.63909,16.03945,23468.6,17187.4,23525.5,17236.5
405/647,23614.3,16899,23526.4,17225,4419.28809,36444.27734,366.60529,20.80116,1.04332,2899.97803,39272.07813,22952,1,-1,5,0,0,618.33912,14.15041,23614.3,16899,23526.4,17225
405/647,23562.3,16903.4,23532.2,17156.5,6196.9209,45555.57422,346.133,87.17245,1.08047,3261.23315,48933.57813,17044,1,-1,-3,0,0,772.92776,11.08961,23562.3,16903.4,23532.2,17156.5
405/647,23653.4,16809.5,23534.1,17158,6632.0625,39546.74609,311.73911,13.23602,1.12818,3151.96948,42325.5,21996,1,-1,5,0,0,670.97778,10.39872,23653.4,16809.5,23534.1,17158
405/647,23565.7,16907.5,23535.6,17160.5,8372.19238,41333.67578,283.65643,35.03212,1.07252,3446.46924,44037,17042,1,-1,-4,0,0,701.29608,8.88221,23565.7,16907.5,23535.6,17160.5
