Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,21461.2,13043.9,21518.7,13100.8,2372.81982,13933.44824,309.35501,66.09343,1.1497,2964.07031,16019.5625,4468,1,-1,-2,0,0,236.40464,24.80438,21461.2,13043.9,21518.7,13100.8
405/647,21648,12759.2,21538.1,13100.9,2889.0896,17335.10938,312.71088,-69.13924,1.21146,2825.59326,19770.9375,22148,1,-1,-2,0,0,294.1196,20.37448,21648,12759.2,21538.1,13100.9
405/647,21580.3,12855.8,21552.9,13090.3,2182.7478,13561.71289,318.2114,81.59946,1.15279,3046.85327,15966.1875,12612,1,-1,-2,0,0,230.09751,27.06973,21580.3,12855.8,21552.9,13090.3
405/647,21673.6,12720.8,21564.3,13062.1,4335.23828,19651.29883,271.79996,0,1.21171,2870.26318,23431.10938,22156,1,-1,6,0,0,333.41769,14.43246,21673.6,12720.8,21564.3,13062.1
405/647,21560.3,13051.9,21564.8,13051.7,3528.30957,28675.19141,363.94022,7.00826,1.06566,3098.87134,31434.29688,628,1,-1,7,0,0,486.52337,17.64205,21560.3,13051.9,21564.8,13051.7
405/647,21561.8,13057.7,21566.2,13057.5,4147.14551,26422.73242,322.23627,-78.21908,1.28458,3256.11426,29227.40625,626,1,-1,7,0,0,448.30657,15.62949,21561.8,13057.7,21566.2,13057.5
405/647,21595.4,12840.5,21567.8,13075,2068.31689,11146.86816,296.36584,60.20045,1.22574,2987.3855,14222.10938,12609,1,-1,-3,0,0,189.12557,28.23634,21595.4,12840.5,21567.8,13075
405/647,21454.5,13046.9,21512,13103.7,2197.55786,12856.75,308.78464,34.95799,1.01592,3026.26123,16042.20313,4463,1,-1,-5,0,0,218.13662,26.83665,21454.5,13046.9,21512,13103.7
405/647,21506.9,12912.3,21505.6,13126,2504.74341,14193.15137,303.89114,-70.93323,1.09569,2779.83838,16780.92188,15375,1,-1,-6,0,0,240.81094,23.01723,21506.9,12912.3,21505.6,13126
405/647,21471,13153.2,21497,13152.2,4039.64014,23259.05859,306.32678,-4.9351,1.21806,3122.09521,25579.32813,1225,1,-1,7,0,0,394.62947,15.76028,21471,13153.2,21497,13152.2
405/647,21467.5,13029.5,21505.9,13157.3,3851.07227,23835.01758,317.59753,-22.16597,1.24885,3192.77124,26422.20313,8567,1,-1,6,0,0,404.40159,16.55752,21467.5,13029.5,21505.9,13157.3
405/647,21595.5,12811.6,21507.6,13137.5,3320.30566,20227.0625,315.09216,4.92171,1.12085,2790.4353,23765.67188,22520,1,-1,8,0,0,343.1865,17.92636,21595.5,12811.6,21507.6,13137.5
405/647,21564.6,12872.6,21537.2,13107.1,2827.71655,19178.03516,332.46381,79.74182,1.16769,2962.31812,21922.40625,12613,1,-1,-5,0,0,325.38797,21.13953,21564.6,12872.6,21537.2,13107.1
405/647,21633.1,12783.2,21545.2,13109.2,2061.0647,16760.89258,364.05164,0,1.06572,2544.45288,19048.8125,22954,1,-1,10,0,0,284.37704,26.43138,21633.1,12783.2,21545.2,13109.2
405/647,21560.8,12899.6,21559.5,13113.4,4798.36768,24149.96484,286.39914,-7.41726,1.13416,2895.75391,27225.0625,15373,1,-1,5,0,0,409.74521,13.26287,21560.8,12899.6,21559.5,13113.4
405/647,21486.7,13097.9,21541.3,13132.4,3336.54639,13145.99121,253.401,37.27557,1.01256,3059.64941,15432.17188,3410,1,-1,-5,0,0,223.04409,18.57932,21486.7,13097.9,21541.3,13132.4
405/647,21456,13079.2,21513.5,13136.2,3049.8501,19480.08203,322.63864,4.50416,1.16481,3065.0542,22770.34375,4474,1,-1,6,0,0,330.51271,20.03254,21456,13079.2,21513.5,13136.2
405/647,21472.8,13101,21527.5,13135.5,2387.60889,18010.13281,350.62033,-16.84269,1.20384,2815.64624,20747.32813,3414,1,-1,9,0,0,305.57252,24.1117,21472.8,13101,21527.5,13135.5
405/647,21453,13083,21510.5,13139.9,5378.35742,28435.40234,293.53851,-77.56445,1.07129,3135.302,31887.20313,4469,1,-1,5,0,0,482.45494,12.37126,21453,13083,21510.5,13139.9
405/647,21471.9,13092.1,21529.3,13149,4644.29932,33035.67188,340.48007,0.00005,1.08442,2964.6228,35343.48438,4470,1,-1,5,0,0,560.50633,13.6881,21471.9,13092.1,21529.3,13149
405/647,21495.3,13076.4,21552.8,13133.1,2303.14844,20986.25195,385.36008,-17.47935,1.19203,3042.47412,23041.76563,4462,1,-1,7,0,0,356.06744,25.69985,21495.3,13076.4,21552.8,13133.1
405/647,21503.2,13106,21557.9,13140.7,2126.86133,17419.93555,365.35403,-76.6649,1.21512,2783.12012,19877.10938,3418,1,-1,-5,0,0,295.55882,26.65223,21503.2,13106,21557.9,13140.7
405/647,21496.1,13054.2,21551.2,13140.7,2552.32666,14862.45898,308.06149,-20.38245,1.26368,2828.18506,18665.9375,6303,1,-1,-4,0,0,252.16688,22.78212,21496.1,13054.2,21551.2,13140.7
405/647,21479.6,13060.3,21534.8,13146.6,2781.0481,11219.52832,256.41492,69.74851,1.01956,2963.45166,15051.875,6297,1,-1,-4,0,0,190.35837,21.56673,21479.6,13060.3,21534.8,13146.6
405/647,21507.1,13012.4,21542.4,13146.2,2293.53589,15372.38379,330.505,0.00055,1.20256,3287.20386,18386.01563,8897,1,-1,5,0,0,260.81862,26.69006,21507.1,13012.4,21542.4,13146.2
405/647,21473,13017.9,21504.6,13158.9,2020.14514,18851.75977,389.9823,-19.76889,1.19946,2972.40454,21243.17188,9293,1,-1,-3,0,0,319.85215,28.70988,21473,13017.9,21504.6,13158.9
405/647,21462.8,13107.8,21520.3,13164.8,5729.33008,33890.79688,310.49115,-43.5809,1.03262,3389.19531,36079.4375,4471,1,-1,-2,0,0,575.01498,12.02798,21462.8,13107.8,21520.3,13164.8
405/647,21471.1,13108.6,21528.6,13165.5,7790.93555,36977.69531,278.12201,-18.86443,1.08944,3293.69385,39665,4472,1,-1,5,0,0,627.38946,9.2886,21471.1,13108.6,21528.6,13165.5
405/647,21527.2,13160.3,21553.4,13159.3,2914.89868,12253.7041,261.74728,14.1824,1.1515,2964.4248,14774.1875,1232,1,-1,8,0,0,207.90492,20.67222,21527.2,13160.3,21553.4,13159.3
405/647,21519.1,13164.6,21545.3,13163.5,7184.84082,35387.67578,283.32028,-4.39615,1.16723,3235.17285,37740.53125,1230,1,-1,6,0,0,600.41208,9.85375,21519.1,13164.6,21545.3,13163.5
405/647,21511.5,12961,21559.8,13136.4,5465.20508,31529.73633,306.63177,34.90384,1.18359,3081.81543,34506.04688,10765,1,-1,6,0,0,534.95558,12.12057,21511.5,12961,21559.8,13136.4
405/647,21672.2,12770,21562.5,13111.6,3381.28711,20008.02734,310.54272,-63.27802,1.03686,2849.38599,22683.09375,22150,1,-1,5,0,0,339.4702,17.78722,21672.2,12770,21562.5,13111.6
405/647,21597.7,12833.1,21564.3,13121,3282.13452,17765.37109,297.0087,6.34878,1.04609,2909.67847,20837.75,19028,1,-1,7,0,0,301.41972,18.42163,21597.7,12833.1,21564.3,13121
405/647,21676.2,12778.3,21566.5,13119.9,3284.93311,9304.94727,214.85918,-20.94023,1.1859,2949.27979,11154.29688,22151,1,-1,6,0,0,157.87425,18.67642,21676.2,12778.3,21566.5,13119.9
405/647,21671.9,12779.7,21562.4,13121.1,3904.55151,21425.52734,299.04767,50.30563,1.10815,2764.49048,23911.96875,22153,1,-1,5,0,0,363.52049,15.53458,21671.9,12779.7,21562.4,13121.1
405/647,21605.9,12786,21568,13066.9,2937.98047,12647.33203,264.87149,4.07416,1.01037,3024.99097,15335.4375,18747,1,-1,-2,0,0,214.58349,20.68494,21605.9,12786,21568,13066.9
405/647,21662.1,12742.8,21574.3,13068.7,3310.07178,15922.66309,279.99442,-68.75278,1.08099,2816.78076,17714.75,22956,1,-1,7,0,0,270.15505,18.08504,21662.1,12742.8,21574.3,13068.7
405/647,21656.6,12745.2,21568.8,13071.1,3158.16455,29368.04102,389.29636,-68.5632,1.24055,2603.10376,32233.91406,22951,1,-1,7,0,0,498.27874,18.18481,21656.6,12745.2,21568.8,13071.1
405/647,21565.1,12883.2,21588.2,13071.9,2148.54834,8204.50293,249.46741,11.58205,1.03011,3105.14551,10603.875,11727,1,-1,-4,0,0,139.20334,27.79163,21565.1,12883.2,21588.2,13071.9
405/647,21538.4,12991.2,21588.9,13020.3,3528.77368,16233.54297,273.81357,-49.94492,1.27289,2917.33301,19077.6875,3135,1,-1,5,0,0,275.42965,17.33624,21538.4,12991.2,21588.9,13020.3
405/647,21587.5,13045.2,21591.9,13045,4036.38989,28903.68359,341.61758,-36.02524,1.04849,2941.58521,31975.32813,625,1,-1,5,0,0,490.40013,15.39628,21587.5,13045.2,21591.9,13045
405/647,21571.5,12855.7,21588.7,13049.4,5719.97021,21280.36133,246.23676,68.49522,1.03282,3174.48486,24260.23438,11810,1,-1,-3,0,0,361.05751,11.87301,21571.5,12855.7,21588.7,13049.4
405/647,21534.9,13001.2,21593.8,13062.4,2751.43213,18761.85547,333.36401,-52.29871,1.1157,3015.64551,22142.375,4805,1,-1,10,0,0,318.32677,21.82011,21534.9,13001.2,21593.8,13062.4
405/647,21593.7,13074.6,21598.2,13074.4,4306.92822,20678.97656,279.7312,84.73544,1.09697,3268.57178,23431.98438,627,1,-1,5,0,0,350.85399,15.19451,21593.7,13074.6,21598.2,13074.4
405/647,21525,12928.7,21573.1,13104.1,4074.32715,18655.73828,273.17346,1.62448,1.27474,2876.37207,21855.76563,10773,1,-1,6,0,0,316.52631,15.22834,21525,12928.7,21573.1,13104.1
405/647,21519.3,13033.2,21576.6,13088,2887.79297,17377.25586,313.1611,-15.61483,1.08512,3118.65186,20022.0625,4370,1,-1,-3,0,0,294.83469,21.19298,21519.3,13033.2,21576.6,13088
405/647,21531.4,13037.4,21588.8,13092.3,2362.24634,10543.25195,269.70245,-18.73337,1.14653,2975.56152,12665.48438,4374,1,-1,-6,0,0,178.88419,25.00237,21531.4,13037.4,21588.8,13092.3
405/647,21553,13088.3,21593.7,13103.7,3453.30322,16434.45313,278.49698,-42.17928,1.2468,3157.83301,19097.1875,2434,1,-1,5,0,0,278.83844,18.19932,21553,13088.3,21593.7,13103.7
405/647,21560,12958.8,21592.2,13107.2,4771.29395,22449.62109,276.9151,-1.07447,1.217,2922.65015,25916.14063,9618,1,-1,6,0,0,380.89599,13.3824,21560,12958.8,21592.2,13107.2
405/647,21663.5,12783.9,21575.6,13109.8,3327.34399,16420.25977,283.59683,-3.51102,1.03347,2858.65137,19143.07813,22959,1,-1,5,0,0,278.59762,18.09771,21663.5,12783.9,21575.6,13109.8
405/647,21663.8,12789,21575.9,13114.9,2435.7041,9522.66992,252.42206,89.51152,1.16932,2963.39429,12226.6875,22946,1,-1,9,0,0,161.56828,24.30996,21663.8,12789,21575.9,13114.9
405/647,21696.2,12775.8,21586.7,13117.2,4387.85352,15060.45313,236.51201,-60.91849,1.01822,2935.0166,18487.1875,22154,1,-1,-6,0,0,255.52619,14.46776,21696.2,12775.8,21586.7,13117.2
405/647,21684.4,12776.1,21575,13117.5,2689.30273,11649.0459,265.69632,84.12579,1.1816,2869.32153,13575.25,22155,1,-1,10,0,0,197.64587,21.92436,21684.4,12776.1,21575,13117.5
405/647,21556.7,12968.6,21588.9,13116.9,5402.53564,27897.91016,290.09967,50.00003,1.27658,3057.40942,31087.9375,9617,1,-1,5,0,0,473.33547,12.22476,21556.7,12968.6,21588.9,13116.9
405/647,21557.5,12960,21589.6,13108.3,7129.40137,44722.92578,319.74136,47.69091,1.07715,2922.46021,48290.45313,9615,1,-1,-3,0,0,758.80046,9.57347,21557.5,12960,21589.6,13108.3
405/647,21681.8,12789.5,21594,13115.4,3545.10938,18395.12891,290.80164,-61.39838,1.06245,2917.75879,20937.8125,22955,1,-1,-4,0,0,312.10463,17.24203,21681.8,12789.5,21594,13115.4
405/647,21729.5,12748.5,21595.1,13093.1,2594.73096,8943.79688,237.01456,-77.63903,1.08318,2880.97339,12267.29688,21157,1,-1,-3,0,0,151.74672,22.73997,21729.5,12748.5,21595.1,13093.1
405/647,21557.8,13078.4,21598.4,13093.8,3710.72876,27263.28711,346.03476,66.71776,1.10316,3086.10498,28954.85938,2431,1,-1,7,0,0,462.56801,16.86215,21557.8,13078.4,21598.4,13093.8
405/647,21549.7,13019.7,21600.1,13048.7,2383.28076,19221.30078,362.54675,-8.5554,1.19937,2789.72437,22183.5,3131,1,-1,6,0,0,326.12204,24.05122,21549.7,13019.7,21600.1,13048.7
405/647,21541.3,13016.4,21598.6,13070.9,6326.7749,31990.3457,287.06384,5.53128,1.01802,3198.18408,35810.98438,4359,1,-1,6,0,0,542.7706,10.88731,21541.3,13016.4,21598.6,13070.9
405/647,21552.9,12933.7,21601,13109,4981.3252,21320.52539,264.11115,58.597,1.04642,3072.49097,23734.9375,10778,1,-1,-4,0,0,361.73896,13.14874,21552.9,12933.7,21601,13109
405/647,21584.6,12883.9,21601.9,13077.6,4928.35547,30706.20703,318.65616,-17.13856,1.00688,3068.7793,32880.8125,11808,1,-1,-6,0,0,520.983,13.19187,21584.6,12883.9,21601.9,13077.6
405/647,21702,12733.4,21603.4,13067,6448.39063,46982.09375,344.58847,-61.76867,1.03568,2942.85547,50475.07813,22328,1,-1,-3,0,0,797.13109,10.38312,21702,12733.4,21603.4,13067
405/647,21703.2,12735.6,21604.4,13069.3,5524.13623,38689.33594,337.84982,-86.23279,1.03321,2993.96753,41718.59375,22326,1,-1,-5,0,0,656.43036,11.86758,21703.2,12735.6,21604.4,13069.3
405/647,21700.9,12755.8,21601.9,13089.8,7779.30615,50669.28125,325.80832,-16.88866,1.1382,3265.77075,53655.23438,22322,1,-1,6,0,0,859.69049,9.22597,21700.9,12755.8,21601.9,13089.8
405/647,21524.3,12944.8,21572.5,13120.2,4377.43994,38907.84375,380.59991,-8.02347,1.08871,2952.46948,41669,10768,1,-1,5,0,0,660.13771,14.3492,21524.3,12944.8,21572.5,13120.2
