Channel Name,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc,Photons,Lateral Localization Accuracy,Xw,Yw,Xwc,Ywc
405/647,20651.7,14271.1,20620.6,14507,5729.32227,28893.20117,286.68597,30.34498,1.11583,3158.44751,31198.07813,12525,1,-1,6,0,0,490.22228,11.77161,20651.7,14271.1,20620.6,14507
405/647,20635.7,14285.8,20605.8,14520.4,5076.40186,23300.64258,273.50558,8.24808,1.01088,3121.83154,25866.25,12473,1,-1,-2,0,0,395.33501,12.9967,20635.7,14285.8,20605.8,14520.4
405/647,20641,14295.4,20610,14531.3,4184.36621,31523.08789,350.39648,-89.99998,1.05601,3119.72827,33374.3125,12526,1,-1,5,0,0,534.84278,15.24162,20641,14295.4,20610,14531.3
405/647,20615.3,14306.7,20584.5,14542.6,2720.78687,24153.67383,380.3685,-23.23599,1.14261,2923.88696,27850.53125,12529,1,-1,9,0,0,409.80814,21.73408,20615.3,14306.7,20584.5,14542.6
405/647,20640.7,14292.1,20612.2,14525.5,2392.68774,7221.71533,221.78767,44.02232,1.0457,3170.85645,8811.03125,12453,1,-1,-2,0,0,122.52868,25.47747,20640.7,14292.1,20612.2,14525.5
405/647,20658.6,14279.6,20629,14514.9,7682.80225,43736.60547,304.59512,-8.36287,1.03606,3152.70337,46743.53125,12559,1,-1,-5,0,0,742.06586,9.23962,20658.6,14279.6,20629,14514.9
405/647,20628.7,14292.7,20617.3,14520.4,2561.62427,7275.05273,215.13971,-31.09506,1.08615,3409.39429,11105.6875,13000,1,-1,-3,0,0,123.43364,24.68719,20628.7,14292.7,20617.3,14520.4
405/647,20637.8,14299.2,20625.8,14527.2,2180.22925,11513.58691,293.36917,50.65822,1.0282,3375.78076,14085.75,12986,1,-1,-2,0,0,195.34758,28.32573,20637.8,14299.2,20625.8,14527.2
405/647,20728.9,14184.6,20583.8,14551.5,3280.56494,20452.66406,318.75781,-55.3463,1.19553,2875.23242,23711.60938,21582,1,-1,9,0,0,347.01422,18.32045,20728.9,14184.6,20583.8,14551.5
405/647,20562,14353.2,20538.6,14582.2,2847.22949,8667.0166,222.7326,-43.35634,1.15143,3196.67773,12413.79688,12381,1,-1,-2,0,0,147.05067,21.84323,20562,14353.2,20538.6,14582.2
405/647,20629.8,14326.3,20604.7,14556.7,3148.00488,13515.40039,264.51907,55.72406,1.00562,3187.22876,17539.79688,12405,1,-1,-2,0,0,229.31174,19.8524,20629.8,14326.3,20604.7,14556.7
405/647,20763.9,14190.3,20618.8,14557.2,4490.48242,24077.44922,295.60989,-25.45428,1.18717,2861.25269,27009.625,21583,1,-1,5,0,0,408.51486,13.95784,20763.9,14190.3,20618.8,14557.2
405/647,20644.5,14339.7,20615.1,14575,2132.15527,6147.12744,216.76389,87.29665,1.03692,3137.36279,9853.21875,12564,1,-1,-4,0,0,104.29647,28.19791,20644.5,14339.7,20615.1,14575
405/647,20775.2,14194.6,20630.1,14561.5,4500.44971,23802.42773,293.59109,75.74339,1.03304,2920.30249,27948.17188,21584,1,-1,-3,0,0,403.84865,14.03416,20775.2,14194.6,20630.1,14561.5
405/647,20602.4,14356.7,20637.8,14509.5,2961.10913,19425.9043,326.98184,-22.05548,1.12161,2952.78467,21893.54688,9762,1,-1,5,0,0,329.59349,20.26396,20602.4,14356.7,20637.8,14509.5
405/647,20661.8,14281.2,20633.4,14516.1,10441.95801,49716.11719,278.55942,-27.1261,1.07925,3461.22778,52333.84375,12587,1,-1,5,0,0,843.51845,7.48192,20661.8,14281.2,20633.4,14516.1
405/647,20650,14263.4,20638.3,14491.2,8812.57129,49547.51563,302.70517,-18.4077,1.25872,3423.25977,52941.26563,12992,1,-1,5,0,0,840.65783,8.48957,20650,14263.4,20638.3,14491.2
405/647,20757.5,14002.7,20640.6,14318.7,5342.67871,38036.35547,340.62784,22.55463,1.20589,3011.42456,40994.20313,20776,1,-1,6,0,0,645.35143,12.22539,20757.5,14002.7,20640.6,14318.7
405/647,20591.8,14208.8,20650.6,14286,5067.50732,29243.24805,306.67322,-15.80661,1.20467,3133.23926,31990.28125,5859,1,-1,5,0,0,496.16142,12.98981,20591.8,14208.8,20650.6,14286
405/647,20593,14244.9,20651.8,14322.1,2423.45093,13141.2207,297.27676,-53.74907,1.06669,3114.22778,15297.84375,5862,1,-1,-3,0,0,222.96315,24.84616,20593,14244.9,20651.8,14322.1
405/647,20752.6,14012.2,20657.4,14308,5908.48438,28871.65039,282.20062,-37.03201,1.03305,3133.60034,32126.57813,20385,1,-1,-5,0,0,489.85663,11.4502,20752.6,14012.2,20657.4,14308
405/647,20602.9,14253,20661.5,14330.8,6288.18115,38490.10938,315.84375,50.93847,1.16699,3116.26465,40664.03125,5889,1,-1,8,0,0,653.05014,10.81939,20602.9,14253,20661.5,14330.8
405/647,20591.9,14259.2,20650.8,14336.4,6579.52637,38568.60547,309.0864,87.30866,1.01863,3250.02881,41977.59375,5860,1,-1,-2,0,0,654.38196,10.57253,20591.9,14259.2,20650.8,14336.4
405/647,20650,14335.2,20658.6,14334.9,6083.08789,31671.86914,291.29633,32.98206,1.10953,2968.9917,34446.40625,743,1,-1,5,0,0,537.3671,10.97342,20650,14335.2,20658.6,14334.9
405/647,20595.4,14261.1,20654.1,14338.8,5595.66455,28340.68359,287.30261,85.93988,1.16756,3142.37207,31270.76563,5883,1,-1,5,0,0,480.84788,11.98442,20595.4,14261.1,20654.1,14338.8
405/647,20642.6,14340.1,20651.4,14339.8,8003.32275,46916.60156,309.09241,8.64165,1.03505,3137.05151,50631.46875,744,1,-1,5,0,0,796.0199,8.92568,20642.6,14340.1,20651.4,14339.8
405/647,20747.7,14044.7,20641.3,14343.4,4667.60693,24501.375,292.48819,82.66668,1.16703,3120.68335,28328.51563,20547,1,-1,6,0,0,415.70748,13.92803,20747.7,14044.7,20641.3,14343.4
405/647,20659.1,14117.5,20643.2,14341,4094.74951,27268.67383,329.44174,27.95816,1.03437,2862.1189,29157.17188,16035,1,-1,5,0,0,462.65941,15.06686,20659.1,14117.5,20643.2,14341
405/647,20632.2,14346.2,20641,14345.8,8290.60742,41406.75391,285.30057,75.27354,1.20804,3344.99707,44658.14063,747,1,-1,7,0,0,702.53597,8.87058,20632.2,14346.2,20641,14345.8
405/647,20635.2,14342.6,20643.9,14342.3,9349.37207,48550.08984,290.9136,-26.53166,1.01737,3216.42896,51215.98438,742,1,-1,-3,0,0,823.73481,7.97334,20635.2,14342.6,20643.9,14342.3
405/647,20583.7,14273.1,20642.3,14350.9,7925.25439,43193.97656,298.0336,5.39521,1.02138,2994.37598,45778.57813,5890,1,-1,-3,0,0,732.85924,8.88512,20583.7,14273.1,20642.3,14350.9
405/647,20593.4,14269.1,20652,14346.8,5254.67432,28606.55469,297.86542,0.96464,1.03065,3152.69995,31200.70313,5884,1,-1,-3,0,0,485.35883,12.63445,20593.4,14269.1,20652,14346.8
405/647,20593.9,14262.5,20652.6,14340,6045.94922,35059.30859,307.41824,-73.25917,1.1269,3251.92285,38042.78125,5877,1,-1,5,0,0,594.84077,11.34233,20593.9,14262.5,20652.6,14340
405/647,20692.4,14067.7,20652.5,14340.9,2933.34424,18728.49805,322.57462,63.02851,1.03229,3007.99194,21561.39063,18271,1,-1,-3,0,0,317.76081,20.58972,20692.4,14067.7,20652.5,14340.9
405/647,20672.2,14123.4,20653.6,14349.9,2687.18701,14414.0752,295.66824,18.04879,1.23811,2860.47388,16830.78125,16151,1,-1,7,0,0,244.55929,21.86554,20672.2,14123.4,20653.6,14349.9
405/647,20647.5,14349.3,20656.4,14348.9,10089.37891,56141.53906,301.1412,-63.2887,1.1863,3364.14868,59404.71875,749,1,-1,5,0,0,952.53665,7.59895,20647.5,14349.3,20656.4,14348.9
405/647,20599.6,14269.8,20658.4,14347.1,4541.14307,23963.04688,293.25717,29.23694,1.10469,3158.44238,26461.32813,5864,1,-1,6,0,0,406.57383,14.31972,20599.6,14269.8,20658.4,14347.1
405/647,20653.2,14347.6,20661.7,14347.2,4825.94678,33661.73828,337.16092,45.14754,1.11292,3133.75464,35933.01563,741,1,-1,5,0,0,571.12861,13.51202,20653.2,14347.6,20661.7,14347.2
405/647,20606.6,14258.1,20665.3,14335.7,6449.59717,30629.06836,278.20236,-1.98171,1.09282,3111.6626,32526.53125,5882,1,-1,5,0,0,519.67421,10.63479,20606.6,14258.1,20665.3,14335.7
405/647,20633.4,14188.5,20666.6,14326.6,2796.43115,18874.61914,331.66318,-89.89014,1.00909,3169.00195,20609.90625,9129,1,-1,-5,0,0,320.24,21.93823,20633.4,14188.5,20666.6,14326.6
405/647,20607.7,14255.7,20666.3,14333.4,5008.71875,29786.71289,311.32083,77.50061,1.14886,3159.00806,32933.60938,5886,1,-1,-6,0,0,505.38222,13.1515,20607.7,14255.7,20666.3,14333.4
405/647,20601.2,14273.2,20659.8,14351,7528.79102,36400.80078,280.70688,-1.01182,1.05841,3187.73096,39183.1875,5887,1,-1,5,0,0,617.60147,9.44987,20601.2,14273.2,20659.8,14351
405/647,20655.6,14145.5,20640,14368.6,3998.53564,23936.42773,312.34848,11.57444,1.18773,2685.59741,27984.73438,16021,1,-1,5,0,0,406.12219,15.04816,20655.6,14145.5,20640,14368.6
405/647,20656.4,14132.5,20640.9,14355.5,9811.06445,53339.72266,297.66486,-15.52966,1.1434,3174.39673,56755.5625,16016,1,-1,5,0,0,904.99907,7.64657,20656.4,14132.5,20640.9,14355.5
405/647,20665,14143.2,20646.5,14369.6,6468.53662,33584.24219,290.88745,25.00491,1.09583,3108.13721,36841.28125,16149,1,-1,6,0,0,569.81376,10.58905,20665,14143.2,20646.5,14369.6
405/647,20636,14148.9,20638.3,14370.8,3756.87427,21787.61328,307.43387,-84.94127,1.24628,3238.87793,24168.98438,13330,1,-1,9,0,0,369.6639,17.02442,20636,14148.9,20638.3,14370.8
405/647,20659.4,14146.9,20640.9,14373.2,5308.08545,32297.83594,314.90387,-74.79284,1.06407,2907.4978,35018.60938,16146,1,-1,7,0,0,547.98769,12.17068,20659.4,14146.9,20640.9,14373.2
405/647,20663.6,14148.9,20648.4,14371.7,11116.54199,63298.71875,304.63013,-36.80919,1.04509,3296.37012,66051.85938,16010,1,-1,5,0,0,1073.97037,7.01266,20663.6,14148.9,20648.4,14371.7
405/647,20663.9,14129.1,20648.7,14351.8,11082.70117,68635.21875,317.6954,-46.3777,1.01244,3221.75244,70560.125,16009,1,-1,5,0,0,1164.51317,6.97586,20663.9,14129.1,20648.7,14351.8
405/647,20668.9,14124.9,20649.8,14351.9,4953.77979,31859.85938,323.75299,-27.95341,1.17141,2863.24976,33926.76563,16172,1,-1,5,0,0,540.55668,12.81997,20668.9,14124.9,20649.8,14351.9
