"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
7293,32396.9,6984.5,156.3,738,436,12.2,14.98,3
7287,32410.2,6963.4,139.1,352,420,12.2,15.07,1
17483,32521.0,7003.7,141.1,258,418,12.2,20.31,1
22275,32438.6,7011.4,118.1,117,457,12.2,31.35,1
32431,32551.1,7004.5,130.6,145,424,12.2,29.96,1
12807,32519.5,7041.9,152.7,160,417,12.2,36.35,1
33256,32541.4,7022.5,136.6,131,418,12.2,35.67,1
9171,32552.6,7044.4,166.3,272,412,12.2,25.84,1
8798,32568.4,6984.6,156.6,170,431,12.2,36.46,1
3305,32599.6,6979.9,151.3,251,418,12.2,23.54,1
13475,32568.4,6994.8,154.4,333,454,12.2,26.21,2
32424,32611.2,6993.0,140.9,301,426,12.2,23.58,2
33561,32619.5,6976.0,129.1,111,424,12.2,37.52,1
10209,32626.9,7004.9,131.2,116,412,12.2,36.96,1
36591,32619.8,7011.2,112.8,124,424,12.2,26.49,1
17669,32636.7,7008.2,110.2,115,428,12.2,27.37,1
43181,32644.4,7013.7,149.3,213,418,12.2,26.76,1
13962,32655.5,7003.4,116.6,178,434,12.2,20.50,1
15956,32657.7,6964.9,157.7,155,438,12.2,40.72,1
28706,32676.2,6964.5,153.4,160,435,12.2,37.36,1
33580,32728.0,6960.7,196.5,263,421,12.2,36.62,1
8409,32666.4,7000.3,169.4,201,420,12.2,35.69,1
10201,32674.5,7005.8,119.9,147,430,12.2,25.53,1
20276,32666.8,7010.8,128.5,948,451,12.2,7.45,2
33546,32673.9,7011.9,154.0,150,436,12.2,40.07,1
13959,32680.5,6995.4,120.0,205,451,12.2,19.32,1
6238,32640.3,7016.8,129.7,228,435,12.2,19.82,1
20056,32563.6,7033.6,147.0,221,434,12.2,25.51,1
20272,32651.6,7018.6,148.1,1400,436,12.2,7.70,3
20289,32600.1,7021.4,173.6,191,419,12.2,39.18,1
36579,32684.6,7017.9,140.9,189,442,12.2,27.56,1
33525,32636.4,7021.7,146.7,160,424,12.2,33.87,1
6229,32655.0,7025.2,139.7,1537,436,12.2,7.76,5
33959,32672.2,7037.6,180.9,277,421,12.2,29.95,1
9272,32647.8,7041.3,103.2,104,417,12.2,26.45,1
8413,32655.9,7043.5,130.2,111,447,12.2,39.22,1
22430,32687.7,7031.2,185.7,287,418,12.2,30.25,1
43178,32729.6,7026.7,183.3,245,417,12.2,34.22,1
36568,32719.0,7045.8,146.9,203,424,12.2,27.27,1
43189,32778.8,7034.2,136.7,113,435,12.2,41.94,1
20064,32458.5,7051.0,149.0,336,436,12.2,23.89,2
44757,32473.9,7052.9,141.0,215,425,12.2,24.08,1
3786,32491.8,7056.2,132.8,407,460,12.2,16.59,2
13487,32498.8,7068.7,138.6,128,452,12.2,38.68,1
44752,32514.0,7072.6,156.7,756,425,12.2,14.55,3
