"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
16592,26243.1,21206.9,178.6,224,625,12.2,42.52,1
40929,26277.3,21132.3,140.4,183,614,12.2,32.53,1
30810,26278.5,21197.3,128.9,326,635,12.2,16.53,1
45369,26280.2,21224.8,139.2,554,636,12.2,15.59,2
14097,26281.7,20903.2,143.2,131,580,12.2,45.25,1
41249,26589.5,20901.0,182.3,295,604,12.2,33.55,1
32257,26657.8,20932.8,158.4,181,527,12.2,38.41,1
29085,26696.5,20874.6,123.4,130,573,12.2,34.19,1
47406,26301.4,21114.6,128.7,106,595,12.2,45.77,1
43548,26287.7,21155.7,157.7,198,617,12.2,37.60,1
27101,26307.8,21155.9,130.6,376,630,12.2,14.84,1
18647,26311.6,21182.6,156.8,534,607,12.2,19.68,2
29604,26290.6,21183.2,160.7,472,626,12.2,17.44,1
27094,26309.9,21185.6,172.0,736,601,12.2,17.26,2
43556,26320.5,21178.0,167.8,277,589,12.2,30.10,1
664,26353.5,21181.2,119.7,425,689,12.2,15.61,2
308,26436.4,20989.9,100.6,161,643,12.2,20.29,1
1993,26440.8,20993.0,109.1,120,658,12.2,31.14,1
1995,26397.9,21014.1,152.4,188,630,12.2,37.39,1
24969,26427.0,21009.5,140.4,369,605,12.2,22.61,2
17558,26485.2,21001.5,125.9,415,633,12.2,12.81,1
21339,26480.4,21010.2,110.3,189,627,12.2,20.37,1
34675,26460.6,21022.0,145.5,603,598,12.2,15.23,2
12704,26507.4,21003.8,146.9,1971,587,12.2,6.30,3
17572,26526.9,20975.8,141.0,756,634,12.2,12.01,2
10982,26509.1,20982.5,157.7,301,583,12.2,24.73,1
48547,26510.0,21012.5,158.9,202,590,12.2,36.64,1
17562,26517.0,20982.8,120.0,300,634,12.2,15.70,1
17819,26544.2,20984.7,145.7,347,629,12.2,19.38,1
17549,26545.2,20987.9,127.3,531,644,12.2,10.64,1
19949,26525.4,20999.4,141.5,508,638,12.2,17.41,2
22948,26530.3,21020.7,142.0,2196,620,12.2,6.13,4
17575,26536.0,20999.9,133.9,1349,649,12.2,8.66,4
14169,26543.1,21001.4,172.1,402,653,12.2,23.30,1
41732,26510.4,21024.9,147.1,634,590,12.2,14.75,2
16101,26359.4,21184.4,149.0,454,633,12.2,15.88,1
13773,26427.7,21041.6,128.4,202,655,12.2,25.79,1
11135,26404.2,21168.0,159.2,288,607,12.2,26.68,1
34685,26454.5,21025.9,159.7,626,602,12.2,17.50,2
7107,26474.3,21030.0,148.7,297,567,12.2,22.23,1
48639,26456.3,21038.7,162.5,335,612,12.2,24.15,1
7110,26467.4,21055.3,124.3,699,594,12.2,11.80,3
13479,26370.0,21168.4,166.8,1140,648,12.2,13.34,3
13490,26368.2,21180.8,179.7,464,632,12.2,21.80,1
20154,26374.5,21170.5,154.7,316,607,12.2,23.22,1
13486,26374.8,21177.8,147.4,684,652,12.2,14.38,2
20630,26385.1,21183.0,151.6,213,636,12.2,32.94,1
40369,26387.0,21196.0,143.9,365,632,12.2,18.11,1
30864,26489.5,21058.4,138.1,293,612,12.2,20.31,1
41735,26505.3,21043.9,140.8,721,600,12.2,12.23,2
388,26522.1,21035.9,162.7,256,651,12.2,32.05,1
5078,26522.8,21039.2,159.3,177,606,12.2,42.32,1
44404,26528.1,21041.7,137.7,271,627,12.2,21.88,1
33165,26523.2,21047.1,141.8,1089,617,12.2,8.69,2
21336,26539.7,21041.5,148.4,237,619,12.2,28.35,1
38439,26524.1,21057.1,128.2,578,596,12.2,12.58,2
48541,26528.4,21075.7,142.5,307,622,12.2,20.70,1
44401,26500.5,21096.6,150.7,1087,594,12.2,9.53,2
13484,26345.2,21199.3,124.3,254,656,12.2,19.66,1
786,26334.0,21200.4,151.9,853,710,12.2,15.29,3
667,26335.5,21205.1,130.3,550,701,12.2,14.47,2
7474,26345.0,21201.9,152.3,579,608,12.2,13.09,1
37734,26547.7,21023.9,126.6,453,618,12.2,15.57,2
14175,26547.8,20969.1,138.2,318,645,12.2,19.30,1
8435,26554.4,21026.6,147.6,428,589,12.2,15.99,1
20783,26562.2,21002.2,105.8,132,630,12.2,26.41,1
12115,26570.6,21006.7,132.7,734,596,12.2,10.79,2
28861,26558.5,21042.1,140.7,1020,645,12.2,9.23,2
8099,26548.8,21047.9,135.4,310,581,12.2,18.22,1
43969,26550.3,21050.7,127.7,315,628,12.2,16.68,1
5080,26566.8,21083.9,133.3,184,598,12.2,28.93,1
15050,26569.7,21090.2,125.5,267,658,12.2,19.11,1
607,26573.7,21148.5,140.8,369,713,12.2,18.12,1
40371,26336.8,21208.2,121.2,309,626,12.2,15.49,1
16139,26309.3,21210.3,177.3,409,619,12.2,23.66,1
19734,26281.7,21238.1,139.2,420,636,12.2,15.14,1
34699,26286.8,21221.5,149.1,379,628,12.2,18.64,1
29445,26300.3,21229.7,136.7,693,629,12.2,12.24,2
38976,26288.4,21237.6,132.3,314,622,12.2,17.77,1
41888,26304.6,21223.8,146.0,1071,626,12.2,12.32,4
19715,26305.4,21213.4,149.0,1920,624,12.2,7.51,4
19728,26315.1,21230.0,156.6,2516,615,12.2,6.99,5
19723,26296.9,21241.8,163.3,1286,610,12.2,11.20,3
40356,26304.6,21269.1,143.8,1050,640,12.2,10.93,3
14519,26309.2,21273.9,138.2,194,608,12.2,29.66,1
38423,26310.7,21254.4,151.0,1283,644,12.2,8.53,2
38979,26321.6,21247.9,156.9,1089,603,12.2,12.08,3
7477,26316.1,21248.4,169.5,395,581,12.2,29.70,2
34702,26325.0,21257.6,138.5,810,629,12.2,10.91,2
10851,26325.5,21217.4,190.4,300,569,12.2,34.87,1
2672,26325.6,21231.9,138.6,728,645,12.2,12.12,2
22727,26326.7,21208.6,140.3,763,628,12.2,11.75,2
35381,26335.3,21211.9,149.0,475,639,12.2,15.30,1
33506,26357.2,21214.2,142.3,869,621,12.2,12.58,3
33503,26420.5,21220.1,164.3,367,601,12.2,22.46,1
19720,26327.3,21228.1,146.6,748,616,12.2,9.90,1
49546,26570.6,21236.4,121.6,393,655,12.2,12.83,1
35379,26336.2,21247.0,126.8,163,607,12.2,29.75,1
44802,26351.2,21259.8,145.7,167,602,12.2,37.59,1
10197,26429.8,21243.4,158.3,208,583,12.2,35.16,1
18408,26553.6,21257.8,126.8,731,667,12.2,10.47,2
23856,26547.2,21262.9,142.7,339,623,12.2,18.99,1
21374,26334.0,21268.4,139.1,232,618,12.2,25.55,1
47986,26430.8,21266.3,111.1,143,634,12.2,26.78,1
9474,26466.9,21267.5,134.4,156,589,12.2,34.18,1
21818,26558.7,21267.8,166.9,238,629,12.2,35.39,1
41316,26566.1,21248.0,133.5,991,623,12.2,8.54,2
36293,26574.0,21253.2,143.5,1239,627,12.2,9.30,3
39963,26575.6,20997.8,163.0,199,620,12.2,39.85,1
37738,26575.2,21022.7,151.0,333,576,12.2,20.69,1
23423,26576.4,21058.6,145.5,233,602,12.2,27.38,1
48544,26584.6,21044.2,163.0,172,639,12.2,46.56,1
8426,26587.2,21065.1,145.6,740,575,12.2,12.47,2
20560,26587.9,21071.9,128.6,441,622,12.2,12.53,1
35566,26596.5,21076.3,119.0,288,612,12.2,15.84,1
22994,26587.0,21092.2,130.8,811,611,12.2,9.75,2
20916,26598.5,21086.9,128.5,278,642,12.2,19.08,1
36946,26626.5,21062.0,156.3,247,605,12.2,29.73,1
23700,26602.1,21069.7,119.4,352,649,12.2,13.63,1
27012,26605.2,21093.1,134.7,3154,631,12.2,4.48,5
14265,26614.1,21070.3,117.6,179,672,12.2,24.84,1
33355,26607.5,21091.8,124.7,332,602,12.2,15.03,1
26446,26629.9,21075.8,113.0,217,611,12.2,18.59,1
17431,26645.7,21040.9,130.7,343,637,12.2,16.19,1
32298,26637.0,21053.4,111.0,129,611,12.2,28.98,1
17434,26633.5,21091.5,123.5,394,631,12.2,12.97,1
34496,26633.8,21057.0,100.1,114,611,12.2,26.95,1
19348,26639.0,21070.9,118.5,230,648,12.2,19.66,1
16405,26638.8,21085.2,121.5,538,652,12.2,12.65,2
17428,26641.9,21099.1,129.0,531,652,12.2,10.92,1
16181,26580.0,21100.1,130.5,274,651,12.2,20.00,1
43971,26597.9,21111.0,150.4,200,614,12.2,33.93,1
36989,26579.0,21111.7,126.4,1242,605,12.2,7.35,3
3608,26605.1,21117.8,118.0,575,634,12.2,11.19,2
47206,26600.2,21119.3,142.5,354,614,12.2,18.11,1
2537,26592.7,21120.2,129.3,273,633,12.2,19.50,1
36570,26599.0,21133.6,118.9,351,611,12.2,13.27,1
37862,26605.9,21118.8,107.4,106,574,12.2,31.85,1
26449,26626.7,21113.7,136.7,258,639,12.2,22.78,1
