"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
41019,21953.0,23193.8,178.2,243,612,12.2,38.87,1
46703,21971.2,23153.3,128.8,125,623,12.2,39.86,1
10560,21975.7,23198.5,179.2,363,555,12.2,25.77,1
40076,21942.7,23316.3,139.5,1505,628,12.2,7.45,3
7796,21946.4,23299.4,147.5,790,572,12.2,9.33,1
35474,21956.6,23270.6,128.6,189,619,12.2,26.80,1
40080,21947.9,23316.5,133.0,654,640,12.2,9.57,1
3654,21940.0,23362.3,136.4,394,568,12.2,14.79,1
27190,21940.9,23369.0,153.5,672,611,12.2,15.32,2
16920,21958.3,23271.7,140.8,353,604,12.2,17.67,1
26893,21964.0,23241.8,131.5,653,630,12.2,9.36,1
21132,21965.3,23256.6,137.0,1350,626,12.2,6.87,2
25473,21964.6,23265.2,125.1,376,622,12.2,18.15,2
18138,21967.2,23269.9,138.4,755,615,12.2,11.49,2
37889,21968.0,23273.3,188.5,443,596,12.2,24.22,1
30064,21969.4,23251.3,148.1,4284,614,12.2,4.02,5
32750,21974.1,23244.1,181.0,273,611,12.2,35.85,1
7793,21971.8,23274.9,126.3,621,574,12.2,11.33,2
21137,21977.8,23250.4,140.3,1563,624,12.2,6.31,2
46600,21977.8,23282.0,134.7,401,655,12.2,15.05,1
895,21970.8,23346.7,138.6,1486,627,12.2,7.45,3
47072,21979.2,23350.3,141.1,1121,655,12.2,8.59,2
39404,21959.2,23360.1,152.4,499,618,12.2,15.04,1
47372,21972.9,23351.1,153.6,650,668,12.2,12.45,1
47087,21978.3,23356.8,151.9,1517,637,12.2,8.63,3
47554,21979.2,23367.8,146.1,2033,672,12.2,5.57,2
37891,21979.6,23235.5,187.5,285,611,12.2,36.72,1
43655,21982.9,23250.7,156.3,419,603,12.2,18.24,1
36918,21983.2,23266.0,156.7,3123,619,12.2,5.35,4
14809,21987.2,23240.8,138.9,1004,630,12.2,9.08,2
32739,21986.6,23244.1,149.5,3204,624,12.2,5.25,5
16353,21994.9,23223.1,144.0,2235,664,12.2,5.02,2
6788,21998.2,23193.8,155.8,355,546,12.2,20.21,1
41023,21996.0,23228.9,143.7,294,633,12.2,29.94,2
43658,21989.4,23263.4,136.5,2041,647,12.2,6.20,4
39317,21987.6,23289.4,177.3,320,615,12.2,29.66,1
19077,21980.4,23358.1,127.4,186,607,12.2,26.49,1
14368,21992.3,23343.0,155.7,1408,611,12.2,8.14,2
13507,21997.5,23326.5,140.5,476,674,12.2,14.06,1
16442,21994.1,23367.0,143.2,1960,641,12.2,6.95,4
42313,21981.4,23367.0,143.0,776,622,12.2,11.93,2
13681,22000.7,23340.4,134.6,555,634,12.2,11.18,1
43236,22000.9,23234.6,115.7,227,633,12.2,18.90,1
47637,22002.7,23022.4,140.6,140,609,12.2,41.84,1
41017,22020.5,23190.1,101.9,103,629,12.2,30.97,1
30402,22006.5,23200.6,145.9,537,632,12.2,13.19,1
41610,22018.2,23211.1,136.5,292,639,12.2,20.31,1
30404,22012.2,23217.2,150.0,417,606,12.2,17.05,1
16387,22001.0,23354.0,160.4,744,623,12.2,15.25,2
18209,22025.7,23366.5,171.1,423,578,12.2,20.92,1
39132,21970.8,23370.6,125.6,282,640,12.2,18.04,1
14263,21875.9,23480.7,149.1,262,643,12.2,26.42,1
29621,21919.9,23442.5,156.9,245,590,12.2,29.81,1
20498,21924.8,23495.8,178.5,252,584,12.2,36.80,1
42589,21936.8,23403.7,186.3,430,620,12.2,24.77,1
29623,21937.6,23397.6,162.9,529,617,12.2,16.04,1
20453,21947.4,23376.1,183.9,436,600,12.2,23.59,1
38516,21950.4,23382.4,141.4,459,640,12.2,14.40,1
38514,21948.0,23424.5,156.1,453,628,12.2,17.22,1
31885,21953.4,23451.4,116.9,171,612,12.2,24.65,1
30903,21955.9,23417.7,143.8,636,642,12.2,11.16,1
3656,21959.1,23371.9,151.0,1048,563,12.2,9.68,2
17732,21960.7,23498.1,166.6,2417,623,12.2,7.45,4
29289,21966.2,23388.5,138.0,2196,639,12.2,6.41,5
32697,21982.9,23394.8,140.1,361,662,12.2,17.77,1
5864,21976.8,23407.3,134.9,150,579,12.2,35.40,1
32694,21983.9,23378.5,133.9,521,642,12.2,11.75,1
24536,21987.5,23376.5,137.8,455,626,12.2,13.77,1
43567,21989.2,23404.3,165.5,2977,637,12.2,6.18,4
24539,21988.6,23409.6,142.4,1229,645,12.2,8.02,2
19097,21990.6,23387.9,157.4,1945,627,12.2,7.34,3
17281,21997.7,23374.2,151.5,1809,643,12.2,8.25,4
10520,21992.2,23377.0,151.2,1240,583,12.2,9.90,3
25451,21994.7,23390.4,143.6,1859,645,12.2,6.58,3
19102,21994.9,23376.7,131.9,608,622,12.2,9.95,1
27942,21995.1,23381.6,155.3,233,600,12.2,30.86,1
47367,21998.9,23377.4,141.4,1356,659,12.2,8.52,3
9721,22001.4,23398.6,119.2,218,564,12.2,19.68,1
28514,22001.6,23409.4,147.3,2681,647,12.2,5.58,4
13398,21994.3,23410.1,141.1,1004,633,12.2,10.95,3
39813,21989.7,23413.2,140.8,361,630,12.2,17.57,1
7242,21997.8,23418.1,164.2,3609,572,12.2,4.98,4
1126,22000.1,23414.1,161.9,569,608,12.2,14.78,1
3332,21996.4,23419.6,157.2,1960,583,12.2,7.09,3
19950,21966.7,23474.0,186.0,329,623,12.2,31.90,1
1501,21981.4,23427.2,158.2,550,609,12.2,14.64,1
332,21994.6,23423.8,143.0,2830,655,12.2,5.09,4
31887,21996.8,23426.5,162.6,4992,670,12.2,3.95,4
39136,22003.2,23415.9,169.7,526,606,12.2,17.23,1
20563,22001.0,23424.9,154.3,503,615,12.2,15.22,1
6020,22002.7,23432.8,107.4,209,578,12.2,17.20,1
1425,22003.9,23382.7,136.9,199,585,12.2,28.01,1
14533,22008.3,23424.1,112.0,130,644,12.2,29.92,1
19684,22010.7,23421.2,170.0,715,607,12.2,17.41,2
7426,22011.0,23441.0,121.5,259,560,12.2,23.29,2
3307,22018.5,23420.1,145.1,1085,604,12.2,9.00,2
19370,22027.0,23404.7,128.2,778,635,12.2,9.91,2
5316,22021.3,23407.4,144.1,1000,576,12.2,10.97,3
19681,22023.3,23429.0,165.7,641,716,12.2,19.76,2
22082,22038.7,23127.2,136.7,526,609,12.2,15.54,2
27580,22041.9,23153.7,151.0,755,608,12.2,15.85,3
30560,22044.6,23157.3,133.7,495,634,12.2,12.20,1
46880,22053.2,23157.4,151.3,1032,647,12.2,10.37,2
29592,22064.4,23149.0,172.5,484,617,12.2,19.29,1
13915,22077.2,23164.8,120.1,892,633,12.2,7.86,2
10974,22079.2,23140.0,140.5,350,569,12.2,17.33,1
5193,22080.3,23036.2,117.5,112,541,12.2,35.06,1
12641,22089.3,23065.3,103.3,142,543,12.2,22.13,1
14401,22094.9,23147.7,139.5,469,610,12.2,13.57,1
21866,22095.1,23121.5,120.1,257,606,12.2,17.76,1
32390,22102.4,23144.9,141.1,431,610,12.2,14.91,1
29121,22098.1,23159.2,182.6,1686,602,12.2,10.66,3
40047,22099.8,23148.0,128.2,218,650,12.2,23.83,1
32396,22105.0,23155.1,151.3,1822,608,12.2,7.18,3
29587,22106.5,23161.1,149.8,2872,610,12.2,5.30,4
7812,22124.2,23107.7,114.7,166,554,12.2,23.46,1
7815,22121.4,23141.2,149.1,382,559,12.2,17.65,1
7821,22129.2,23141.6,141.1,1550,564,12.2,7.13,3
31061,22135.3,23076.3,156.1,158,597,12.2,45.06,1
25406,22136.4,23154.9,147.8,969,604,12.2,10.26,2
32388,22160.4,23112.4,139.3,223,601,12.2,26.32,1
15428,22165.2,23117.3,154.4,540,625,12.2,14.41,1
7809,22139.5,23126.8,120.2,336,592,12.2,13.89,1
37809,22168.3,23153.9,152.4,263,610,12.2,26.80,1
20942,22178.8,23146.3,123.8,304,623,12.2,16.29,1
22774,22174.5,23152.4,137.3,296,613,12.2,19.93,1
18420,22188.9,23076.6,197.8,554,618,12.2,21.88,1
11419,22191.4,23129.3,148.5,706,560,12.2,13.32,2
30000,22198.0,23067.4,150.1,171,590,12.2,38.58,1
18416,22204.6,23121.8,164.5,1110,620,12.2,13.08,3
40510,22215.7,23024.4,108.5,113,610,12.2,31.38,1
18422,22211.0,23138.2,148.8,773,627,12.2,12.88,2
11425,22201.8,23142.7,131.6,1552,553,12.2,7.59,5
26954,22154.8,23155.0,148.3,523,614,12.2,13.72,1
28989,22154.0,23155.3,170.7,651,614,12.2,14.47,1
20944,22208.6,23163.6,131.9,602,645,12.2,10.15,1
18414,22217.5,23143.2,137.1,304,619,12.2,19.45,1
26996,22220.4,23027.4,150.0,135,592,12.2,48.25,1
18488,22261.8,23144.1,158.9,369,614,12.2,28.79,2
34330,22246.9,23147.9,156.8,988,615,12.2,13.28,3
30406,22038.6,23167.4,142.1,177,606,12.2,34.02,1
35191,22035.3,23167.6,143.9,220,627,12.2,28.86,1
29048,22045.5,23167.9,125.9,887,634,12.2,8.57,2
29041,22039.3,23176.1,158.4,1882,618,12.2,7.59,3
2629,22031.2,23416.0,145.5,1886,604,12.2,6.50,3
39190,22031.6,23194.8,141.9,1999,623,12.2,7.25,5
29045,22034.4,23181.3,148.0,1291,601,12.2,8.00,2
46877,22036.2,23182.2,142.0,775,633,12.2,11.87,2
30397,22037.8,23197.7,143.0,899,604,12.2,10.34,2
39101,22038.4,23210.9,125.6,160,645,12.2,30.50,1
47966,22041.8,23215.2,141.5,525,654,12.2,12.93,1
30558,22046.1,23189.6,151.3,637,632,12.2,12.09,1
29109,22034.4,23410.9,158.9,554,616,12.2,19.60,2
5872,22037.9,23426.1,158.2,841,562,12.2,12.76,2
13386,22041.1,23407.8,168.3,1185,642,12.2,11.03,2
19408,22042.6,23372.7,137.9,468,660,12.2,13.72,1
6443,22046.6,23415.9,119.7,247,592,12.2,18.10,1
30324,22048.7,23176.0,146.2,3557,625,12.2,4.29,4
7411,22051.0,23188.5,101.5,154,580,12.2,20.50,1
44571,22053.8,23175.7,136.5,1379,654,12.2,7.87,3
14126,22053.9,23176.0,143.2,1524,628,12.2,7.71,3
3195,22051.9,23337.4,127.8,348,566,12.2,14.70,1
9440,22054.6,23382.7,117.9,365,580,12.2,16.28,2
7407,22062.8,23194.8,143.3,4434,596,12.2,3.18,3
17042,22056.2,23385.7,140.1,472,615,12.2,18.04,2
25044,22055.9,23440.2,155.2,486,608,12.2,21.11,2
39881,22066.9,23169.1,144.7,924,635,12.2,10.51,2
28186,22067.9,23192.3,151.6,874,600,12.2,11.72,2
40040,22070.5,23198.6,146.4,223,634,12.2,29.53,1
40036,22070.9,23196.6,144.8,501,617,12.2,18.13,2
14286,22082.6,23170.0,132.5,595,632,12.2,10.25,1
13778,22086.6,23169.8,148.1,493,624,12.2,14.51,1
19136,22072.2,23172.1,142.2,352,622,12.2,18.23,1
25032,22070.9,23183.8,160.1,622,569,12.2,13.08,1
37045,22073.6,23173.9,112.0,445,633,12.2,12.84,2
6311,22080.6,23192.6,139.0,3452,585,12.2,3.98,4
13950,22107.3,23201.6,181.0,423,604,12.2,23.59,1
20308,22117.1,23196.7,146.0,199,587,12.2,31.61,1
17570,22115.3,23331.0,152.8,452,597,12.2,16.28,1
45201,22114.1,23331.6,109.5,104,644,12.2,35.40,1
16731,22119.2,23334.8,167.7,2020,606,12.2,8.74,4
14445,22101.0,23355.8,141.5,1445,644,12.2,7.99,3
14106,22103.1,23353.7,143.4,937,649,12.2,10.30,2
970,22066.6,23496.6,140.8,139,552,12.2,40.28,1
