"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
19266,29993.7,22736.8,165.2,426,546,12.2,19.07,1
29097,30003.7,22738.5,144.2,227,539,12.2,26.33,1
25342,29946.4,22901.5,146.2,323,551,12.2,19.74,1
1329,29936.6,22909.7,177.5,1030,547,12.2,12.91,2
13790,29942.6,22910.8,144.0,492,567,12.2,13.35,1
11177,29940.9,22918.1,107.3,201,522,12.2,17.12,1
37202,29969.3,22923.0,147.5,957,555,12.2,11.73,3
41519,29990.2,22956.1,128.1,221,554,12.2,21.97,1
27919,29996.4,22931.0,147.3,373,542,12.2,17.44,1
47726,30003.3,22947.6,147.0,398,571,12.2,16.71,1
41835,30006.7,22769.5,134.4,249,533,12.2,21.14,1
33561,30015.1,22731.8,130.8,646,554,12.2,11.47,2
31179,30014.1,22732.1,135.6,1700,567,12.2,6.85,4
21451,30026.7,22727.3,140.4,316,531,12.2,18.41,1
22115,30116.5,22735.3,105.3,166,570,12.2,20.34,1
16354,30078.9,22742.6,169.5,182,535,12.2,43.72,1
41842,30015.9,22747.2,136.9,407,542,12.2,14.21,1
26217,30097.8,22744.7,118.8,271,556,12.2,16.07,1
14052,30106.1,22749.0,118.5,361,553,12.2,12.43,1
32975,30100.5,22754.1,134.2,1040,572,12.2,8.02,2
22108,30088.9,22762.8,142.3,1720,539,12.2,7.23,4
39662,30074.2,22773.9,104.9,154,552,12.2,21.38,1
13723,30028.4,22774.4,133.7,156,570,12.2,33.29,1
769,30036.4,22777.3,123.6,122,579,12.2,36.48,1
24535,30099.2,22776.8,133.9,3541,546,12.2,3.85,5
2494,30107.9,22766.6,148.7,606,565,12.2,11.77,1
40797,30110.8,22767.6,122.0,120,538,12.2,34.94,1
29962,30068.0,22785.8,132.9,1522,545,12.2,7.18,4
23444,30036.8,22893.7,148.8,610,534,12.2,14.96,2
37620,30039.4,22900.3,135.4,335,546,12.2,16.58,1
38602,30008.7,22903.0,164.6,255,522,12.2,29.78,1
41184,30013.2,22917.9,133.6,260,548,12.2,20.34,1
18083,30044.7,22837.9,171.3,2835,551,12.2,6.48,4
29059,30063.8,22801.9,132.3,388,550,12.2,14.06,1
28847,30063.1,22896.5,134.6,281,549,12.2,19.25,1
6174,30065.0,22869.5,133.9,230,544,12.2,22.82,1
771,30073.2,22849.2,134.2,692,578,12.2,13.53,3
46219,30056.3,22898.0,135.1,302,527,12.2,23.94,2
44597,30059.2,22914.1,134.9,671,552,12.2,11.68,2
48109,30064.3,22917.9,149.8,319,523,12.2,20.43,1
15527,30038.5,22920.9,140.5,224,540,12.2,25.41,1
35647,30073.7,22895.5,141.8,732,531,12.2,11.64,2
27403,30086.7,22787.4,115.2,127,549,12.2,30.04,1
18779,30080.1,22849.8,121.8,171,537,12.2,25.04,1
44449,30077.9,22856.0,138.4,210,534,12.2,26.10,1
755,30082.5,22885.9,145.8,2862,593,12.2,5.03,4
800,30087.6,22846.2,133.6,400,572,12.2,18.67,2
141,30088.0,22886.5,143.1,1037,620,12.2,9.22,2
805,30079.5,22887.2,138.1,201,562,12.2,27.76,1
523,30086.4,22889.5,140.5,1191,580,12.2,7.75,2
519,30088.1,22890.0,139.2,1033,580,12.2,10.05,3
18304,30088.1,22857.5,153.8,1854,544,12.2,8.48,5
19193,30080.0,22891.3,143.6,402,544,12.2,15.62,1
17651,30074.8,22913.2,138.6,270,544,12.2,20.94,1
46791,30080.7,22895.7,133.1,521,595,12.2,11.33,1
14011,30078.7,22898.7,147.7,611,588,12.2,11.72,1
777,30086.1,22906.1,152.3,256,576,12.2,26.81,1
44451,30081.8,22920.9,123.0,200,543,12.2,22.22,1
46793,30086.1,22911.7,143.9,581,546,12.2,11.42,1
766,30083.6,22927.8,146.6,576,590,12.2,16.01,2
8312,30012.5,22928.1,123.4,291,537,12.2,15.89,1
46799,30033.8,22928.7,147.2,327,514,12.2,19.19,1
39373,30010.6,22962.6,115.5,305,548,12.2,13.74,1
8315,30043.8,22931.3,156.4,1214,546,12.2,8.94,2
43778,30032.1,22959.3,135.7,865,544,12.2,9.40,2
46842,30015.8,22959.6,154.0,621,552,12.2,12.13,1
39657,30022.2,22963.8,126.3,123,566,12.2,37.21,1
49364,30082.6,22929.5,195.6,413,516,12.2,26.02,1
8307,30050.9,22932.0,151.8,2627,551,12.2,5.13,3
41189,30050.2,22942.1,125.7,313,538,12.2,15.40,1
23623,30082.2,22936.0,127.3,144,534,12.2,31.79,1
46849,30070.4,23057.5,122.3,144,545,12.2,29.72,1
49366,30089.7,22920.5,133.5,253,571,12.2,21.24,1
18088,30094.9,22840.3,156.3,1167,547,12.2,10.82,3
36216,30095.4,22820.5,109.5,111,536,12.2,30.81,1
24541,30098.9,22785.9,135.9,540,542,12.2,14.29,2
18092,30097.5,22829.1,152.7,1422,559,12.2,7.56,2
13419,30102.0,22867.8,180.8,458,552,12.2,21.06,1
13415,30096.6,22890.0,146.7,912,546,12.2,12.06,3
15789,30102.5,22887.0,149.6,722,531,12.2,12.94,2
18081,30110.5,22864.6,171.2,499,527,12.2,17.36,1
18894,30109.2,22870.8,135.7,378,549,12.2,15.00,1
2392,30107.4,22893.7,149.4,204,553,12.2,31.48,1
14005,30095.2,22898.1,153.3,2611,563,12.2,6.30,5
21399,30104.5,22935.9,160.8,640,531,12.2,16.44,2
30798,30107.4,22988.2,118.3,103,539,12.2,38.15,1
32043,30111.8,22787.8,139.3,118,491,12.2,43.71,1
16351,30116.3,22753.9,147.8,868,562,12.2,10.99,2
18311,30116.8,22838.5,154.0,358,540,12.2,19.56,1
18077,30118.8,22841.7,149.1,472,555,12.2,14.60,1
33508,30113.3,22915.1,135.6,312,556,12.2,17.84,1
785,30114.8,22932.4,130.8,223,577,12.2,23.09,1
35645,30117.1,22923.2,147.0,280,543,12.2,22.51,1
8743,30114.9,22976.2,119.3,198,517,12.2,20.79,1
16253,30119.0,22734.1,138.9,2107,554,12.2,6.37,5
17307,30119.4,22727.7,132.8,995,547,12.2,10.49,4
